date,swb_worry
2011m1,-.8704168
2011m2,-.7829962
2011m3,-.831982
2011m4,-1.153974
2011m5,-1.455654
2011m6,-1.454239
2011m7,-1.139003
2011m8,-.8314486
2011m9,-.4917175
2011m10,-.5716052
2011m11,-.8543853
2011m12,-1.190258
2012m1,-1.586239
2012m2,-2.045547
2012m3,-2.652306
2012m4,-2.889882
2012m5,-2.521518
2012m6,-1.957811
2012m7,-1.468314
2012m8,-1.311564
2012m9,-1.577493
2012m10,-1.801876
2012m11,-2.045404
2012m12,-2.25673
2013m1,-2.235817
2013m2,-2.211769
2013m3,-2.113356
2013m4,-2.068383
2013m5,-2.360792
2013m6,-2.756563
2013m7,-2.870897
2013m8,-2.562012
2013m9,-2.58477
2013m10,-2.614445
2013m11,-2.523029
2013m12,-2.475261
2014m1,-2.529731
2014m2,-2.934983
2014m3,-3.40115
2014m4,-3.453471
2014m5,-3.187281
2014m6,-2.929145
2014m7,-2.980509
2014m8,-2.906231
2014m9,-2.648332
2014m10,-2.56458
2014m11,-2.745566
2014m12,-2.591439
2015m1,-2.154499
2015m2,-2.331984
2015m3,-2.523359
2015m4,-2.824936
2015m5,-3.049938
2015m6,-3.157312
2015m7,-2.798292
2015m8,-2.233908
2015m9,-1.782391
2015m10,-1.946267
2015m11,-2.7957
2015m12,-3.160257
2016m1,-3.118727
2016m2,-2.915195
2016m3,-2.802976
2016m4,-3.033022
