date,cat_education
2011m1,1.074377
2011m2,.9933957
2011m3,.8045002
2011m4,.5397775
2011m5,-.0288372
2011m6,-.5092272
2011m7,-.6477851
2011m8,-.1443691
2011m9,.7287816
2011m10,1.082351
2011m11,.8378451
2011m12,.3622006
2012m1,.3998399
2012m2,.5699663
2012m3,.6811234
2012m4,.3384228
2012m5,-.3525572
2012m6,-1.045824
2012m7,-1.190732
2012m8,-.6228079
2012m9,.3423099
2012m10,.7571599
2012m11,.7200409
2012m12,.4821534
2013m1,.5789378
2013m2,.6316267
2013m3,.5551205
2013m4,.255248
2013m5,-.4241109
2013m6,-1.152171
2013m7,-1.454622
2013m8,-1.137213
2013m9,-.3370699
2013m10,.1660883
2013m11,.1333288
2013m12,-.0470242
2014m1,.0221312
2014m2,.1360679
2014m3,.1315452
2014m4,-.1012934
2014m5,-.6243443
2014m6,-1.165278
2014m7,-1.348748
2014m8,-.7448839
2014m9,.3600177
2014m10,.8017422
2014m11,.5620388
2014m12,.295243
2015m1,.3574833
2015m2,.4911521
2015m3,.5628672
2015m4,.2840881
2015m5,-.385472
2015m6,-1.031264
2015m7,-1.420182
2015m8,-1.029362
2015m9,-.1174011
2015m10,.2471565
2015m11,.0769526
2015m12,-.2202338
2016m1,-.223044
2016m2,-.0492102
2016m3,.090267
2016m4,.101721
