date,swb_happiness
2008m1,.6997369
2008m2,1.065608
2008m3,1.17607
2008m4,.7089165
2008m5,.4084921
2008m6,.3569714
2008m7,.1638919
2008m8,-.186796
2008m9,-.5581782
2008m10,-.8564957
2008m11,-1.073071
2008m12,-1.457448
2009m1,-1.848129
2009m2,-1.553383
2009m3,-1.00032
2009m4,-.4898393
2009m5,-.376831
2009m6,-.4076066
2009m7,-.4859092
2009m8,-.8944246
2009m9,-1.088216
2009m10,-.9144245
2009m11,-.5962568
2009m12,-.619771
2010m1,-1.13363
2010m2,-1.4278
2010m3,-1.42635
2010m4,-.978433
2010m5,-.6652492
2010m6,-.78997
2010m7,-1.145905
2010m8,-1.43853
2010m9,-1.125547
2010m10,-.5444976
2010m11,-.065853
2010m12,-.1032367
2011m1,-.1305407
2011m2,.1164443
2011m3,.3067688
2011m4,.5567338
2011m5,.6392972
2011m6,.3722639
2011m7,-.0532437
2011m8,-.2824501
2011m9,-.0674831
2011m10,.1426645
2011m11,.3478693
2011m12,.4354245
2012m1,.3709767
2012m2,.479912
2012m3,.6000986
2012m4,.6339608
2012m5,.4032496
2012m6,.026289
2012m7,-.1323132
2012m8,-.1509309
2012m9,.0254913
2012m10,.1844061
2012m11,.2868308
2012m12,.2507098
2013m1,.0804279
2013m2,.320652
2013m3,.5517523
2013m4,.6979803
2013m5,.7360308
2013m6,.638999
2013m7,.5225335
2013m8,.3474475
2013m9,.3881544
2013m10,.438074
2013m11,.5068529
2013m12,.4094444
2014m1,.3257465
2014m2,.6157682
2014m3,.942493
2014m4,1.136972
2014m5,1.132784
2014m6,.8366447
2014m7,.5242276
2014m8,.4298663
2014m9,.7268069
2014m10,1.055973
2014m11,1.35161
2014m12,1.341025
2015m1,1.102893
2015m2,1.300319
2015m3,1.517995
2015m4,1.484158
2015m5,1.249974
2015m6,.8354304
2015m7,.5976422
2015m8,.6235131
2015m9,1.089049
2015m10,1.441258
2015m11,1.664413
2015m12,1.658535
2016m1,1.34515
2016m2,1.254761
2016m3,1.093204
2016m4,.8344787
