date,cat_financial_security
2008m1,1.697057
2008m2,1.018425
2008m3,.6360272
2008m4,.2062182
2008m5,-.0903158
2008m6,-.1319306
2008m7,-.149289
2008m8,-.1874182
2008m9,-.0167902
2008m10,.215182
2008m11,.0944863
2008m12,.1098869
2009m1,.4812832
2009m2,.4972119
2009m3,.3322922
2009m4,-.0024577
2009m5,-.2481927
2009m6,-.2485635
2009m7,-.1572993
2009m8,-.1879909
2009m9,-.4291361
2009m10,-.6736378
2009m11,-.739987
2009m12,-.3706948
2010m1,.3276543
2010m2,.7631181
2010m3,.9453729
2010m4,.8235911
2010m5,.5360912
2010m6,.2782745
2010m7,.2174091
2010m8,.1359449
2010m9,-.0743658
2010m10,-.2359084
2010m11,-.3528195
2010m12,-.2342969
2011m1,.16927
2011m2,.2142746
2011m3,.0936108
2011m4,-.0960374
2011m5,-.3266572
2011m6,-.1863365
2011m7,-.0507408
2011m8,-.208341
2011m9,-.5982956
2011m10,-.8967431
2011m11,-1.075616
2011m12,-.941636
2012m1,-.4902785
2012m2,-.4772827
2012m3,-.6572031
2012m4,-.8041337
2012m5,-.8165564
2012m6,-.7705184
2012m7,-.8265988
2012m8,-1.364482
2012m9,-1.716114
2012m10,-1.71863
2012m11,-1.53243
2012m12,-.9770633
2013m1,-.2099434
2013m2,-.1082307
2013m3,-.3232593
2013m4,-.583124
2013m5,-.7793701
2013m6,-.8685371
2013m7,-.9397433
2013m8,-1.096933
2013m9,-1.149614
2013m10,-1.055192
2013m11,-1.079876
2013m12,-.8560977
2014m1,-.2645668
2014m2,.0185422
2014m3,.056891
2014m4,-.0116735
2014m5,-.046491
2014m6,.0762792
2014m7,.270817
2014m8,.141408
2014m9,.0384561
2014m10,.0181401
2014m11,.1664732
2014m12,.67698
2015m1,1.390444
2015m2,1.584496
2015m3,1.561113
2015m4,1.391166
2015m5,1.274681
2015m6,1.463469
2015m7,1.44353
2015m8,.9532914
2015m9,.3167734
2015m10,-.044061
2015m11,-.0891169
2015m12,.3231623
2016m1,1.057923
2016m2,1.604355
2016m3,2.137366
2016m4,2.810179
