date,cat_health_conditions
2008m1,.107968
2008m2,.3952044
2008m3,.5242773
2008m4,.3543423
2008m5,-.3171423
2008m6,-.8334528
2008m7,-.9825581
2008m8,-.6336094
2008m9,.1150698
2008m10,.5116209
2008m11,.3419423
2008m12,-.0523467
2009m1,-.1136897
2009m2,.4304501
2009m3,.7541069
2009m4,.6431019
2009m5,.0298466
2009m6,-.5353013
2009m7,-.8429989
2009m8,-.6162277
2009m9,.3178479
2009m10,1.401486
2009m11,1.839803
2009m12,1.730237
2010m1,1.689716
2010m2,2.000116
2010m3,2.286781
2010m4,2.184247
2010m5,1.641892
2010m6,.9524441
2010m7,.4554354
2010m8,.53679
2010m9,.9954997
2010m10,1.253999
2010m11,1.1541
2010m12,.6251912
2011m1,.1156367
2011m2,.0498518
2011m3,.1422278
2011m4,.0188922
2011m5,-.5533813
2011m6,-1.095749
2011m7,-1.281504
2011m8,-1.069926
2011m9,-.582487
2011m10,-.2658709
2011m11,-.2542432
2011m12,-.466427
2012m1,-.3610588
2012m2,-.0093025
2012m3,.1789289
2012m4,.0666634
2012m5,-.4475658
2012m6,-.9378136
2012m7,-1.097993
2012m8,-.8904712
2012m9,-.4684742
2012m10,-.3024774
2012m11,-.4086405
2012m12,-.5910987
2013m1,-.3971244
2013m2,-.1582884
2013m3,-.2033257
2013m4,-.375516
2013m5,-.8667823
2013m6,-1.264233
2013m7,-1.326277
2013m8,-1.06963
2013m9,-.5884646
2013m10,-.3340791
2013m11,-.4211049
2013m12,-.7413428
2014m1,-.7704602
2014m2,-.3726309
2014m3,-.0665345
2014m4,.1345966
2014m5,-.1631989
2014m6,-.5875284
2014m7,-.7815839
2014m8,-.7027465
2014m9,-.2771218
2014m10,-.0314219
2014m11,-.0452344
2014m12,-.1861331
2015m1,-.0827439
2015m2,.2242002
2015m3,.3306273
2015m4,.2258665
2015m5,-.2573571
2015m6,-.7206561
2015m7,-.8879927
2015m8,-.6630187
2015m9,-.1121528
2015m10,.357657
2015m11,.4872772
2015m12,.357795
2016m1,.4323293
2016m2,.7213467
2016m3,.8051679
2016m4,.5439149
