date,swb_stress
2011m1,.2452832
2011m2,.385447
2011m3,.4179384
2011m4,.3453634
2011m5,.0726116
2011m6,.1341906
2011m7,.5665643
2011m8,1.144044
2011m9,1.056701
2011m10,.420801
2011m11,-.0596652
2011m12,-.1759182
2012m1,.0926961
2012m2,.2549819
2012m3,.0743243
2012m4,-.2393949
2012m5,-.3910104
2012m6,-.3705756
2012m7,-.1086091
2012m8,.3886781
2012m9,.9969996
2012m10,1.440447
2012m11,1.324369
2012m12,.6769067
2013m1,.2533412
2013m2,-.1502401
2013m3,-.5117482
2013m4,-.5304652
2013m5,-.3760236
2013m6,-.2394159
2013m7,-.3040559
2013m8,-.2459357
2013m9,-.3642423
2013m10,-.6953272
2013m11,-.9440688
2013m12,-.9577668
2014m1,-.7678377
2014m2,-.5754032
2014m3,-.6127963
2014m4,-.8921791
2014m5,-1.243693
2014m6,-1.380924
2014m7,-1.134913
2014m8,-.807621
2014m9,-.6824869
2014m10,-.7575985
2014m11,-.9945835
2014m12,-1.09315
2015m1,-1.113742
2015m2,-1.259457
2015m3,-1.440007
2015m4,-1.729965
2015m5,-1.988029
2015m6,-2.077419
2015m7,-1.776597
2015m8,-1.273561
2015m9,-1.082901
2015m10,-1.219025
2015m11,-1.56946
2015m12,-1.816951
2016m1,-1.839661
2016m2,-1.710616
2016m3,-1.625133
2016m4,-1.488071
