region,date,mal_etre
Auvergne,2013m1,-1.2056251
Auvergne,2013m2,-1.0864753
Auvergne,2013m3,-1.5452063
Auvergne,2013m4,-1.4489015
Auvergne,2013m5,-.66865921
Auvergne,2013m6,-1.0888067
Auvergne,2013m7,-2.2104414
Auvergne,2013m8,-1.5345739
Auvergne,2013m9,.24809989
Auvergne,2013m10,-.50080526
Auvergne,2013m11,-.51593828
Auvergne,2013m12,-1.2132183
Auvergne,2014m1,-.14890271
Auvergne,2014m2,.0037999046
Auvergne,2014m3,.12293866
Auvergne,2014m4,-.43187124
Auvergne,2014m5,-.95983267
Auvergne,2014m6,-.61612737
Auvergne,2014m7,-.52566892
Auvergne,2014m8,-1.2723497
Auvergne,2014m9,.28126368
Auvergne,2014m10,.11699025
Auvergne,2014m11,-.01826101
Auvergne,2014m12,-.4629547
Auvergne,2015m1,.26691565
Auvergne,2015m2,.51354122
Auvergne,2015m3,1.26554
Auvergne,2015m4,.19904435
Auvergne,2015m5,-.0076262415
Auvergne,2015m6,.11962879
Auvergne,2015m7,-.66435993
Auvergne,2015m8,-.50759971
Auvergne,2015m9,.72104001
Auvergne,2015m10,1.1085323
Auvergne,2015m11,.47122315
Auvergne,2015m12,-.05801294
Auvergne,2016m1,1.3810796
Auvergne,2016m2,1.0236163
Auvergne,2016m3,.90374434
Auvergne,2016m4,.9884789
Auvergne,2016m5,.72306949
Auvergne,2016m6,.24632607
Auvergne,2016m7,-.28134194
Auvergne,2016m8,-.0125648
Auvergne,2016m9,1.1524197
Auvergne,2016m10,.81171638
Auvergne,2016m11,1.2101312
Auvergne,2016m12,.27644849
Auvergne,2017m1,1.4348825
Auvergne,2017m2,2.0215831
Auvergne,2017m3,2.1913238
