date,swb_stress
2011m1,-1.389021
2011m2,-.7894567
2011m3,-.1256973
2011m4,.076176
2011m5,-.3422792
2011m6,-.3177307
2011m7,.4033491
2011m8,1.165742
2011m9,1.466527
2011m10,1.408414
2011m11,.816428
2011m12,.0003045
2012m1,-.4125209
2012m2,-.2342959
2012m3,-.2648969
2012m4,-.1419033
2012m5,-.5093685
2012m6,-.6027644
2012m7,-.2323624
2012m8,.3792291
2012m9,.9129596
2012m10,1.350989
2012m11,1.182153
2012m12,.7344019
2013m1,.2585484
2013m2,-.2883809
2013m3,-.6500586
2013m4,-1.108352
2013m5,-1.267079
2013m6,-1.235393
2013m7,-1.102105
2013m8,-.7537415
2013m9,-.567129
2013m10,-.5604575
2013m11,-.8330047
2013m12,-1.090203
2014m1,-1.175799
2014m2,-1.214845
2014m3,-1.280364
2014m4,-1.206769
2014m5,-1.211715
2014m6,-1.14477
2014m7,-1.042782
2014m8,-.7042208
2014m9,-.3769425
2014m10,-.4239918
2014m11,-.667823
2014m12,-.676516
2015m1,-.3697937
2015m2,.0506674
2015m3,.2858136
2015m4,.1460448
2015m5,-.3101463
2015m6,-.7218996
2015m7,-.5186924
2015m8,-.0213177
2015m9,.1668662
2015m10,-.2791209
2015m11,-.8628545
2015m12,-1.211786
2016m1,-1.023444
2016m2,-.6346731
2016m3,-.4513955
2016m4,-.1642831
