date,cat_layoffs
2008m1,-.9519142
2008m2,-1.002023
2008m3,-1.015078
2008m4,-1.029141
2008m5,-1.090561
2008m6,-1.149195
2008m7,-1.090732
2008m8,-.761381
2008m9,-.0997999
2008m10,.7659119
2008m11,1.698791
2008m12,2.570247
2009m1,3.487659
2009m2,3.426446
2009m3,2.842219
2009m4,2.157335
2009m5,1.50267
2009m6,1.003676
2009m7,.7455861
2009m8,.7153845
2009m9,.9012009
2009m10,1.283711
2009m11,1.57621
2009m12,1.443508
2010m1,1.182629
2010m2,.7822104
2010m3,.6089411
2010m4,.6230099
2010m5,.790197
2010m6,.8823969
2010m7,.7744668
2010m8,.3906621
2010m9,.2312475
2010m10,.2586263
2010m11,.3213575
2010m12,.2307191
2011m1,-.0181104
2011m2,-.2410665
2011m3,-.3107817
2011m4,-.3169527
2011m5,-.4022746
2011m6,-.3871814
2011m7,-.2945109
2011m8,-.2149993
2011m9,-.2798498
2011m10,-.3978693
2011m11,-.4737304
2011m12,-.4399691
2012m1,-.3464379
2012m2,-.3143483
2012m3,-.4371883
2012m4,-.588947
2012m5,-.6986114
2012m6,-.6876032
2012m7,-.5979664
2012m8,-.4958394
2012m9,-.2938297
2012m10,-.0611189
2012m11,-.0165894
2012m12,-.0051568
2013m1,.0926361
2013m2,.2162124
2013m3,.1598962
2013m4,-.0517296
2013m5,-.3010147
2013m6,-.4858872
2013m7,-.5944667
2013m8,-.6338037
2013m9,-.6580575
2013m10,-.5867136
2013m11,-.580901
2013m12,-.5007553
2014m1,-.3097039
2014m2,-.2345661
2014m3,-.1894348
2014m4,-.2073977
2014m5,-.2822482
2014m6,-.2679419
2014m7,-.2393457
2014m8,-.3847214
2014m9,-.5034335
2014m10,-.6222962
2014m11,-.6764193
2014m12,-.6188467
2015m1,-.4986444
2015m2,-.5021614
2015m3,-.6044602
2015m4,-.6260734
2015m5,-.6787972
2015m6,-.6866986
2015m7,-.6958928
2015m8,-.7652898
2015m9,-.7333373
2015m10,-.7092372
2015m11,-.731236
2015m12,-.6778294
2016m1,-.5296977
2016m2,-.2768931
2016m3,-.0139518
2016m4,.5048784
