region,date,immigration
Poitou-Charentes,2013m1,-.10739283
Poitou-Charentes,2013m2,-.46186474
Poitou-Charentes,2013m3,-.031814825
Poitou-Charentes,2013m4,.031052396
Poitou-Charentes,2013m5,-.66722083
Poitou-Charentes,2013m6,-.46497571
Poitou-Charentes,2013m7,-1.0496302
Poitou-Charentes,2013m8,-.65558892
Poitou-Charentes,2013m9,-.15937164
Poitou-Charentes,2013m10,.049554747
Poitou-Charentes,2013m11,.20904589
Poitou-Charentes,2013m12,-.15629129
Poitou-Charentes,2014m1,-.24655505
Poitou-Charentes,2014m2,-.63043612
Poitou-Charentes,2014m3,-.29531774
Poitou-Charentes,2014m4,-.48962089
Poitou-Charentes,2014m5,-.08996214
Poitou-Charentes,2014m6,-.54687589
Poitou-Charentes,2014m7,-.74984485
Poitou-Charentes,2014m8,-.72656089
Poitou-Charentes,2014m9,.38458356
Poitou-Charentes,2014m10,-.23257317
Poitou-Charentes,2014m11,.21714546
Poitou-Charentes,2014m12,-.26964092
Poitou-Charentes,2015m1,-.37070325
Poitou-Charentes,2015m2,-.028025195
Poitou-Charentes,2015m3,-.33363867
Poitou-Charentes,2015m4,-.32631445
Poitou-Charentes,2015m5,-.0086228941
Poitou-Charentes,2015m6,-.014977545
Poitou-Charentes,2015m7,-.29579729
Poitou-Charentes,2015m8,.83064312
Poitou-Charentes,2015m9,2.0386453
Poitou-Charentes,2015m10,.32914081
Poitou-Charentes,2015m11,.69523448
Poitou-Charentes,2015m12,.096208282
Poitou-Charentes,2016m1,.35686815
Poitou-Charentes,2016m2,.4184404
Poitou-Charentes,2016m3,.0022053868
Poitou-Charentes,2016m4,-.25796404
Poitou-Charentes,2016m5,.28768837
Poitou-Charentes,2016m6,-.16638207
Poitou-Charentes,2016m7,.012119518
Poitou-Charentes,2016m8,.079704292
Poitou-Charentes,2016m9,.8359102
Poitou-Charentes,2016m10,1.3336203
Poitou-Charentes,2016m11,.78025311
Poitou-Charentes,2016m12,-.18582609
Poitou-Charentes,2017m1,.24801086
Poitou-Charentes,2017m2,.38780576
Poitou-Charentes,2017m3,.10919235
