date,cat_healthy_habits
2008m1,-1.31577
2008m2,-1.508888
2008m3,-1.676569
2008m4,-1.875486
2008m5,-1.901931
2008m6,-1.88086
2008m7,-1.796611
2008m8,-1.924999
2008m9,-2.102739
2008m10,-1.975619
2008m11,-1.436857
2008m12,-1.101968
2009m1,-.855134
2009m2,-.9960209
2009m3,-1.246127
2009m4,-1.346922
2009m5,-1.290731
2009m6,-1.232871
2009m7,-1.149432
2009m8,-1.032823
2009m9,-.3848527
2009m10,.5816135
2009m11,1.16843
2009m12,1.459527
2010m1,1.590129
2010m2,1.426383
2010m3,1.253996
2010m4,1.161112
2010m5,1.094498
2010m6,.9277441
2010m7,.674136
2010m8,.1930919
2010m9,-.3416473
2010m10,-.3822793
2010m11,-.2013548
2010m12,.0757297
2011m1,.4312305
2011m2,.3224341
2011m3,.2333385
2011m4,.3048227
2011m5,.4135453
2011m6,.4475036
2011m7,.2953603
2011m8,.0487756
2011m9,-.1388609
2011m10,-.0751371
2011m11,-.1832596
2011m12,-.2570583
2012m1,-.131331
2012m2,.0603022
2012m3,.1518931
2012m4,.2375602
2012m5,.3499046
2012m6,.309875
2012m7,.0756473
2012m8,-.1065749
2012m9,-.2470352
2012m10,-.2429418
2012m11,-.1487041
2012m12,.1063881
2013m1,.3908123
2013m2,.582319
2013m3,.663255
2013m4,.6506292
2013m5,.5743316
2013m6,.5248554
2013m7,.3919526
2013m8,.0577067
2013m9,-.1706748
2013m10,-.1959268
2013m11,-.1612103
2013m12,-.0097022
2014m1,.4303354
2014m2,.665553
2014m3,.7949799
2014m4,.5807207
2014m5,.3408323
2014m6,.261976
2014m7,.2605056
2014m8,.0344683
2014m9,-.262688
2014m10,-.4052038
2014m11,-.1622289
2014m12,.1785258
2015m1,.5215604
2015m2,.756461
2015m3,.9270026
2015m4,.8530217
2015m5,.7344637
2015m6,.9011252
2015m7,.7291715
2015m8,.3177667
2015m9,.1159667
2015m10,.2135712
2015m11,.615247
2015m12,1.033511
2016m1,1.47285
2016m2,1.256524
2016m3,.6788697
2016m4,-.048815
