date,cat_summer_leisure
2008m1,-.1612115
2008m2,.5820205
2008m3,1.31884
2008m4,1.861615
2008m5,2.219073
2008m6,2.191015
2008m7,1.70117
2008m8,1.002408
2008m9,.2824221
2008m10,-.2987195
2008m11,-.6497599
2008m12,-.7437347
2009m1,-.3667786
2009m2,.2568541
2009m3,.9689856
2009m4,1.493486
2009m5,1.809347
2009m6,1.843382
2009m7,1.543277
2009m8,.9438106
2009m9,.2822163
2009m10,-.2184881
2009m11,-.5207547
2009m12,-.5967858
2010m1,-.3265915
2010m2,.2293665
2010m3,.92501
2010m4,1.52474
2010m5,1.971261
2010m6,2.029051
2010m7,1.582933
2010m8,.8197376
2010m9,.0975665
2010m10,-.4484167
2010m11,-.8137486
2010m12,-.9335943
2011m1,-.8018903
2011m2,-.4395286
2011m3,.045474
2011m4,.4397951
2011m5,.6937032
2011m6,.7603729
2011m7,.5300433
2011m8,.0609079
2011m9,-.4244911
2011m10,-.8379184
2011m11,-1.121904
2011m12,-1.146341
2012m1,-.8318615
2012m2,-.3727839
2012m3,.1275056
2012m4,.5356342
2012m5,.8067809
2012m6,.7832056
2012m7,.4028174
2012m8,-.0554096
2012m9,-.4781398
2012m10,-.8971282
2012m11,-1.223785
2012m12,-1.296446
2013m1,-1.044717
2013m2,-.6146474
2013m3,-.2067487
2013m4,.0813792
2013m5,.2777115
2013m6,.2776685
2013m7,-.0045157
2013m8,-.3845283
2013m9,-.7497948
2013m10,-1.026071
2013m11,-1.258003
2013m12,-1.296135
2014m1,-1.02199
2014m2,-.5904885
2014m3,-.1807368
2014m4,.0793522
2014m5,.2288125
2014m6,.1902075
2014m7,-.0830647
2014m8,-.4914214
2014m9,-.9064218
2014m10,-1.179347
2014m11,-1.360962
2014m12,-1.332587
2015m1,-.9931926
2015m2,-.4720235
2015m3,.0089786
2015m4,.3151595
2015m5,.4779765
2015m6,.3912544
2015m7,.0673755
2015m8,-.3682429
2015m9,-.8333224
2015m10,-1.177153
2015m11,-1.419564
2015m12,-1.435645
2016m1,-1.125824
2016m2,-.5650275
2016m3,.1338949
2016m4,.9327908
