date,cat_family_stress
2011m1,1.408457
2011m2,.6809949
2011m3,.4187144
2011m4,.5738388
2011m5,.9199095
2011m6,1.388079
2011m7,1.863077
2011m8,1.723309
2011m9,1.084052
2011m10,.3930808
2011m11,-.1466203
2011m12,-.263997
2012m1,-.0205618
2012m2,.1523566
2012m3,.0533438
2012m4,-.167723
2012m5,-.1660065
2012m6,-.1622978
2012m7,.1179625
2012m8,.7056207
2012m9,.4536428
2012m10,-.0350761
2012m11,-.4420652
2012m12,-.2516486
2013m1,.0936588
2013m2,.0886546
2013m3,-.2048854
2013m4,-.0878899
2013m5,-.160923
2013m6,.0159115
2013m7,.4108019
2013m8,.1989952
2013m9,-.1785464
2013m10,-.8044188
2013m11,-.9141713
2013m12,-.4698166
2014m1,.1069098
2014m2,.3184061
2014m3,-.0530455
2014m4,-.4662803
2014m5,-.5347958
2014m6,-.37996
2014m7,-.2748814
2014m8,.143459
2014m9,-.002968
2014m10,-.3994717
2014m11,-.8377444
2014m12,-1.011753
2015m1,-.5822916
2015m2,-.0546709
2015m3,-.1313013
2015m4,-.5097156
2015m5,-.6191961
2015m6,-.2251976
2015m7,.2264856
2015m8,.0978376
2015m9,-.3570398
2015m10,-.7556214
2015m11,-.7655351
2015m12,-.4665148
2016m1,-.0438271
2016m2,-.075883
2016m3,-.1596493
2016m4,-.4535674
