date,cat_healthy_habits
2011m1,.653145
2011m2,.0234038
2011m3,-.2921728
2011m4,-.4141725
2011m5,-.4514663
2011m6,-.3132673
2011m7,-.3439059
2011m8,-.5300104
2011m9,-.7884851
2011m10,-1.04124
2011m11,-1.133056
2011m12,-.8756911
2012m1,-.0977554
2012m2,.2565721
2012m3,.3956439
2012m4,.388069
2012m5,.4160075
2012m6,.6063718
2012m7,.463236
2012m8,-.0359966
2012m9,-.6195271
2012m10,-1.112977
2012m11,-1.191866
2012m12,-.6776585
2013m1,.4196122
2013m2,.8944525
2013m3,1.058571
2013m4,1.125458
2013m5,.9811991
2013m6,.874982
2013m7,.6896071
2013m8,.2568178
2013m9,-.2223087
2013m10,-.6441648
2013m11,-.8430592
2013m12,-.4795124
2014m1,.5304199
2014m2,1.085216
2014m3,1.262369
2014m4,1.132252
2014m5,.833956
2014m6,.6427033
2014m7,.4103661
2014m8,-.0587255
2014m9,-.5062675
2014m10,-.8682657
2014m11,-1.022688
2014m12,-.5913858
2015m1,.3616474
2015m2,.7812729
2015m3,.8403031
2015m4,.7029358
2015m5,.4611056
2015m6,.2853983
2015m7,-.015756
2015m8,-.4638832
2015m9,-.8852698
2015m10,-1.230981
2015m11,-1.325247
2015m12,-.9266871
2016m1,-.0149378
2016m2,.3721029
2016m3,.34301
2016m4,.4701813
