region,date,valeurs_république
Champagne-Ardenne,2013m1,-.48532936
Champagne-Ardenne,2013m2,.24845143
Champagne-Ardenne,2013m3,.20885183
Champagne-Ardenne,2013m4,-.67692912
Champagne-Ardenne,2013m5,-.59551269
Champagne-Ardenne,2013m6,-.96627647
Champagne-Ardenne,2013m7,-1.2402252
Champagne-Ardenne,2013m8,-1.9371532
Champagne-Ardenne,2013m9,.37089202
Champagne-Ardenne,2013m10,-.6983161
Champagne-Ardenne,2013m11,.53208387
Champagne-Ardenne,2013m12,-.82768631
Champagne-Ardenne,2014m1,-.45629174
Champagne-Ardenne,2014m2,-.098029956
Champagne-Ardenne,2014m3,.36943975
Champagne-Ardenne,2014m4,.10980414
Champagne-Ardenne,2014m5,-.038855981
Champagne-Ardenne,2014m6,-1.3416185
Champagne-Ardenne,2014m7,-1.8786089
Champagne-Ardenne,2014m8,-1.6909657
Champagne-Ardenne,2014m9,-.051542185
Champagne-Ardenne,2014m10,-.037559383
Champagne-Ardenne,2014m11,-.33656958
Champagne-Ardenne,2014m12,-.62104738
Champagne-Ardenne,2015m1,1.3975091
Champagne-Ardenne,2015m2,.45975825
Champagne-Ardenne,2015m3,.30562642
Champagne-Ardenne,2015m4,-.57908058
Champagne-Ardenne,2015m5,.8780331
Champagne-Ardenne,2015m6,-.39286271
Champagne-Ardenne,2015m7,-.79163826
Champagne-Ardenne,2015m8,-.45410863
Champagne-Ardenne,2015m9,.924559
Champagne-Ardenne,2015m10,.58119565
Champagne-Ardenne,2015m11,1.2214124
Champagne-Ardenne,2015m12,.94099182
Champagne-Ardenne,2016m1,.38505191
Champagne-Ardenne,2016m2,.60996974
Champagne-Ardenne,2016m3,.81141067
Champagne-Ardenne,2016m4,.31157306
Champagne-Ardenne,2016m5,.21661022
Champagne-Ardenne,2016m6,-.26823646
Champagne-Ardenne,2016m7,-1.4731534
Champagne-Ardenne,2016m8,-.88676029
Champagne-Ardenne,2016m9,1.4244664
Champagne-Ardenne,2016m10,1.2090323
Champagne-Ardenne,2016m11,1.7984496
Champagne-Ardenne,2016m12,.86994165
Champagne-Ardenne,2017m1,.9150672
Champagne-Ardenne,2017m2,1.097093
Champagne-Ardenne,2017m3,1.5166831
