date,cat_personal_security
2008m1,-.3818241
2008m2,-.3029889
2008m3,-.2369132
2008m4,-.3137077
2008m5,-.6184388
2008m6,-.8646473
2008m7,-.9791348
2008m8,-.8393213
2008m9,-.3524624
2008m10,.1315861
2008m11,.4182454
2008m12,.4217505
2009m1,.4039137
2009m2,.4631058
2009m3,.3402113
2009m4,.1025412
2009m5,-.242798
2009m6,-.4853697
2009m7,-.5963623
2009m8,-.5031684
2009m9,-.1381812
2009m10,.2077965
2009m11,.3647597
2009m12,.2517106
2010m1,.1024107
2010m2,.0297879
2010m3,.0785127
2010m4,.0195028
2010m5,-.280318
2010m6,-.6899363
2010m7,-1.014342
2010m8,-1.139771
2010m9,-1.071982
2010m10,-.8486983
2010m11,-.6495982
2010m12,-.5219407
2011m1,-.3589542
2011m2,-.1980217
2011m3,-.3084917
2011m4,-.5081976
2011m5,-.7001566
2011m6,-.9067851
2011m7,-.8702393
2011m8,-.7383528
2011m9,-.5206484
2011m10,-.3352513
2011m11,-.2238306
2011m12,-.2641727
2012m1,-.3139469
2012m2,-.348134
2012m3,-.4224754
2012m4,-.528791
2012m5,-.6977742
2012m6,-.6531988
2012m7,-.4837241
2012m8,-.6233942
2012m9,-.5497352
2012m10,.0627858
2012m11,1.330092
2012m12,2.852592
2013m1,2.94968
2013m2,2.023028
2013m3,1.217595
2013m4,.7897569
2013m5,.1605818
2013m6,-.3084014
2013m7,-.4487726
2013m8,-.5270547
2013m9,-.5320498
2013m10,-.4334609
2013m11,-.2022136
2013m12,-.1831271
2014m1,-.222905
2014m2,-.2214657
2014m3,-.2082913
2014m4,-.2417768
2014m5,-.3718795
2014m6,-.4272982
2014m7,-.3496773
2014m8,-.1882214
2014m9,-.0258156
2014m10,.0610135
2014m11,.0835685
2014m12,.0973036
2015m1,.1267805
2015m2,.0769402
2015m3,.0148589
2015m4,.0121961
2015m5,-.0204619
2015m6,.083993
2015m7,.2421031
2015m8,.3936799
2015m9,.8834374
2015m10,1.773357
2015m11,2.623997
2015m12,2.700221
2016m1,2.082008
2016m2,1.382659
2016m3,.8845333
2016m4,.294457
