date,cat_health_conditions
2011m1,.340058
2011m2,1.093685
2011m3,1.205804
2011m4,.8167228
2011m5,.0409859
2011m6,-.404087
2011m7,-.4879666
2011m8,-.3164141
2011m9,.0095449
2011m10,.1987215
2011m11,.0473538
2011m12,-.2423029
2012m1,.2262178
2012m2,1.005356
2012m3,1.18434
2012m4,.5871666
2012m5,-.2411341
2012m6,-.7999459
2012m7,-.8814496
2012m8,-.5711042
2012m9,-.0119547
2012m10,.2713486
2012m11,.086139
2012m12,-.0926584
2013m1,.0388186
2013m2,.4520283
2013m3,.6065623
2013m4,.5106808
2013m5,-.030872
2013m6,-.7524858
2013m7,-.9831824
2013m8,-.7517546
2013m9,-.0377989
2013m10,.4691674
2013m11,.247079
2013m12,-.1529331
2014m1,-.1975024
2014m2,.1586999
2014m3,.3862242
2014m4,.256596
2014m5,-.5501407
2014m6,-1.167742
2014m7,-1.290555
2014m8,-.9549702
2014m9,-.3570107
2014m10,.0633315
2014m11,-.021962
2014m12,-.3163411
2015m1,-.2214974
2015m2,.275431
2015m3,.5386974
2015m4,.2983124
2015m5,-.4415418
2015m6,-1.160718
2015m7,-1.481641
2015m8,-1.226794
2015m9,-.4234936
2015m10,.3545046
2015m11,.5985815
2015m12,.523625
2016m1,.654101
2016m2,1.054594
2016m3,1.134277
2016m4,.8351992
