date,cat_civic_engagement
2011m1,.0697259
2011m2,.4490775
2011m3,.6335583
2011m4,.3488064
2011m5,-.2233847
2011m6,-.7276976
2011m7,-.9231261
2011m8,-.5109684
2011m9,.5951745
2011m10,1.175041
2011m11,1.204597
2011m12,.913077
2012m1,.7869456
2012m2,.8232673
2012m3,.6960807
2012m4,.3239336
2012m5,-.3560225
2012m6,-.9986159
2012m7,-1.147631
2012m8,-.7111948
2012m9,.0419641
2012m10,.540226
2012m11,.6552213
2012m12,.5928443
2013m1,.6602395
2013m2,.8055883
2013m3,.7672392
2013m4,.4591331
2013m5,-.2392458
2013m6,-.8997959
2013m7,-.9386083
2013m8,-.362372
2013m9,.6289707
2013m10,.9031488
2013m11,.3969418
2013m12,-.0098342
2014m1,-.3555505
2014m2,-.2588004
2014m3,-.2375957
2014m4,-.4333575
2014m5,-1.113251
2014m6,-1.614509
2014m7,-1.592441
2014m8,-1.006588
2014m9,-.0850467
2014m10,.3996097
2014m11,.3898014
2014m12,.1529216
2015m1,.0594555
2015m2,.1776708
2015m3,.3389549
2015m4,.2129961
2015m5,-.3910954
2015m6,-.9698752
2015m7,-1.050939
2015m8,-.4887177
2015m9,.339764
2015m10,.5922313
2015m11,.3648866
2015m12,-.046158
2016m1,-.1245331
2016m2,.0924972
2016m3,.1383008
2016m4,.0870648
