date,cat_civic_engagement
2008m1,-.00934
2008m2,-.2045725
2008m3,-.2186883
2008m4,-.1129134
2008m5,-.2008263
2008m6,-.8104918
2008m7,-1.229654
2008m8,-.9750419
2008m9,-.1978799
2008m10,.3268966
2008m11,.2949863
2008m12,.0763142
2009m1,.0810667
2009m2,.258242
2009m3,.3588081
2009m4,.0864659
2009m5,-.4464804
2009m6,-1.086226
2009m7,-1.403484
2009m8,-1.019174
2009m9,.037845
2009m10,1.357859
2009m11,2.077086
2009m12,1.957003
2010m1,1.642321
2010m2,1.61352
2010m3,1.865959
2010m4,1.914545
2010m5,1.534403
2010m6,.6669992
2010m7,.0961505
2010m8,.1515898
2010m9,.8002388
2010m10,1.302922
2010m11,1.219332
2010m12,.7343447
2011m1,.2386512
2011m2,-.0265192
2011m3,-.0248357
2011m4,-.0933741
2011m5,-.3371441
2011m6,-.6423115
2011m7,-.9132279
2011m8,-.7616538
2011m9,-.1191371
2011m10,.2818871
2011m11,.3408066
2011m12,.0866423
2012m1,-.0318248
2012m2,.0672056
2012m3,.2123769
2012m4,.1067103
2012m5,-.2577854
2012m6,-.8261228
2012m7,-1.079671
2012m8,-.8121158
2012m9,-.0190631
2012m10,.6174834
2012m11,.654433
2012m12,.2040726
2013m1,-.0661482
2013m2,-.1283777
2013m3,-.1062883
2013m4,-.2359987
2013m5,-.5839525
2013m6,-1.010599
2013m7,-1.276397
2013m8,-1.07942
2013m9,-.3113394
2013m10,.3049809
2013m11,.2921309
2013m12,-.0451163
2014m1,-.2230365
2014m2,-.1776786
2014m3,-.075092
2014m4,-.1111722
2014m5,-.501229
2014m6,-1.002801
2014m7,-1.402243
2014m8,-1.365816
2014m9,-.7472216
2014m10,-.1563495
2014m11,.0281159
2014m12,-.108993
2015m1,-.1218396
2015m2,.0537448
2015m3,.3387389
2015m4,.3008034
2015m5,-.0700234
2015m6,-.5843578
2015m7,-1.069671
2015m8,-1.002162
2015m9,-.3269541
2015m10,.2768838
2015m11,.4519312
2015m12,.3059845
2016m1,.2366351
2016m2,.3295139
2016m3,.5818982
2016m4,.9833087
