region,date,islam
Poitou-Charentes,2013m1,-.35207865
Poitou-Charentes,2013m2,.61452502
Poitou-Charentes,2013m3,-.83409423
Poitou-Charentes,2013m4,-.88616985
Poitou-Charentes,2013m5,-.38956365
Poitou-Charentes,2013m6,-.50042206
Poitou-Charentes,2013m7,.067562014
Poitou-Charentes,2013m8,-.49808657
Poitou-Charentes,2013m9,-.28871155
Poitou-Charentes,2013m10,.42439628
Poitou-Charentes,2013m11,-.97192025
Poitou-Charentes,2013m12,-.79919523
Poitou-Charentes,2014m1,-.68504936
Poitou-Charentes,2014m2,-.78921628
Poitou-Charentes,2014m3,-.65527171
Poitou-Charentes,2014m4,-.020451579
Poitou-Charentes,2014m5,-.67898649
Poitou-Charentes,2014m6,-.39222682
Poitou-Charentes,2014m7,-1.210085
Poitou-Charentes,2014m8,.4808726
Poitou-Charentes,2014m9,-.11625615
Poitou-Charentes,2014m10,-.56459528
Poitou-Charentes,2014m11,-.77095693
Poitou-Charentes,2014m12,.24362862
Poitou-Charentes,2015m1,2.7914979
Poitou-Charentes,2015m2,.6651113
Poitou-Charentes,2015m3,.16664518
Poitou-Charentes,2015m4,.42151922
Poitou-Charentes,2015m5,.86383891
Poitou-Charentes,2015m6,.62242842
Poitou-Charentes,2015m7,-.72800136
Poitou-Charentes,2015m8,.39451629
Poitou-Charentes,2015m9,1.0075767
Poitou-Charentes,2015m10,-.47161162
Poitou-Charentes,2015m11,1.5601112
Poitou-Charentes,2015m12,1.0378301
Poitou-Charentes,2016m1,.51480502
Poitou-Charentes,2016m2,-.56413478
Poitou-Charentes,2016m3,.58699685
Poitou-Charentes,2016m4,.086630449
Poitou-Charentes,2016m5,.87541085
Poitou-Charentes,2016m6,.57406718
Poitou-Charentes,2016m7,1.5559211
Poitou-Charentes,2016m8,.16913906
Poitou-Charentes,2016m9,-.99089307
Poitou-Charentes,2016m10,-.79494447
Poitou-Charentes,2016m11,-.61637175
Poitou-Charentes,2016m12,.1801886
Poitou-Charentes,2017m1,.061518919
Poitou-Charentes,2017m2,-.91640341
Poitou-Charentes,2017m3,.14297271
