date,swb_job_satisfaction
2011m1,.4214224
2011m2,.4577887
2011m3,.2502489
2011m4,-.0777418
2011m5,-.3394471
2011m6,-.2377227
2011m7,-.0895154
2011m8,.0199909
2011m9,.0620736
2011m10,.3421276
2011m11,.3258554
2011m12,.3275997
2012m1,.0459529
2012m2,-.2867148
2012m3,-.5076248
2012m4,-.4740838
2012m5,-.2196545
2012m6,.2867696
2012m7,.6768392
2012m8,.6035979
2012m9,.2905185
2012m10,.0361857
2012m11,-.067758
2012m12,-.3890235
2013m1,-.3258365
2013m2,-.5598275
2013m3,-.7042121
2013m4,-.9297121
2013m5,-.8478013
2013m6,-.8752181
2013m7,-.9465501
2013m8,-.8675758
2013m9,-.8070685
2013m10,-.6263032
2013m11,-.5079263
2013m12,-.2952597
2014m1,-.0522601
2014m2,-.0498342
2014m3,-.3230245
2014m4,-.6590279
2014m5,-1.052622
2014m6,-1.229777
2014m7,-1.366734
2014m8,-1.535597
2014m9,-1.83123
2014m10,-1.84209
2014m11,-1.620495
2014m12,-1.292711
2015m1,-1.185848
2015m2,-1.390812
2015m3,-1.638473
2015m4,-1.693912
2015m5,-1.583876
2015m6,-1.404753
2015m7,-1.293742
2015m8,-1.383253
2015m9,-1.506204
2015m10,-1.62844
2015m11,-1.792521
2015m12,-1.80327
2016m1,-1.9434
2016m2,-2.343944
2016m3,-2.739738
2016m4,-3.316476
