date,cat_spirituality
2011m1,.3245781
2011m2,.9289317
2011m3,.9591073
2011m4,.4997983
2011m5,-.2940794
2011m6,-.9994949
2011m7,-1.212399
2011m8,-.7647694
2011m9,.1203651
2011m10,.6583875
2011m11,.7123049
2011m12,.3697583
2012m1,.3451972
2012m2,.5203451
2012m3,.436686
2012m4,.0829201
2012m5,-.6245636
2012m6,-1.16409
2012m7,-1.15455
2012m8,-.5504839
2012m9,.330906
2012m10,.6798537
2012m11,.5602915
2012m12,.2754677
2013m1,.110715
2013m2,.2033496
2013m3,.1297972
2013m4,-.1421926
2013m5,-.6554574
2013m6,-.9770141
2013m7,-.8614089
2013m8,-.3541626
2013m9,.4267048
2013m10,.7389411
2013m11,.5083424
2013m12,.0888828
2014m1,-.0252114
2014m2,.3033333
2014m3,.4256575
2014m4,.1020003
2014m5,-.5818079
2014m6,-1.071108
2014m7,-.9977992
2014m8,-.3677795
2014m9,.572661
2014m10,.913281
2014m11,.5299394
2014m12,.1518877
2015m1,.2408091
2015m2,.6138304
2015m3,.7971564
2015m4,.4533855
2015m5,-.5213361
2015m6,-1.394784
2015m7,-1.551687
2015m8,-.9006355
2015m9,.1659651
2015m10,.6531699
2015m11,.5393265
2015m12,.0263054
2016m1,-.2404273
2016m2,-.0487253
2016m3,.2440543
2016m4,.7115738
