date,swb_learn
2011m1,-.4634532
2011m2,-.1383509
2011m3,.2338032
2011m4,.4538751
2011m5,.4188361
2011m6,.3137793
2011m7,.228129
2011m8,.2189308
2011m9,.3940435
2011m10,.6492877
2011m11,.5769519
2011m12,.4867366
2012m1,.4445112
2012m2,.6375455
2012m3,.7359536
2012m4,.8590524
2012m5,.7398828
2012m6,.6471621
2012m7,.5775933
2012m8,.3700379
2012m9,.2528246
2012m10,.0643324
2012m11,-.2503073
2012m12,-.5038585
2013m1,-.5682251
2013m2,-.409664
2013m3,-.0775468
2013m4,.2072277
2013m5,.2267962
2013m6,-.0202655
2013m7,-.4997682
2013m8,-.7777336
2013m9,-.7896369
2013m10,-.9330857
2013m11,-1.277824
2013m12,-1.401276
2014m1,-1.166118
2014m2,-1.106163
2014m3,-.9188538
2014m4,-.7622721
2014m5,-.8394788
2014m6,-1.0068
2014m7,-1.218731
2014m8,-1.625589
2014m9,-1.920077
2014m10,-2.043427
2014m11,-2.004559
2014m12,-1.895216
2015m1,-1.514652
2015m2,-1.303546
2015m3,-1.108114
2015m4,-1.006544
2015m5,-1.123093
2015m6,-1.397013
2015m7,-1.63874
2015m8,-1.75658
2015m9,-1.722936
2015m10,-1.883482
2015m11,-2.090544
2015m12,-2.222358
2016m1,-1.96255
2016m2,-1.413972
2016m3,-.7957997
2016m4,-.1444168
