date,cat_financial_security
2011m1,.2121521
2011m2,-.0927486
2011m3,-.2848472
2011m4,-.4697596
2011m5,-.5695704
2011m6,-.2836765
2011m7,-.0419569
2011m8,-.2641103
2011m9,-.728931
2011m10,-1.09843
2011m11,-1.37641
2011m12,-1.405074
2012m1,-.864971
2012m2,-.3277803
2012m3,-.1193111
2012m4,-.312546
2012m5,-.7026534
2012m6,-.8046364
2012m7,-.6955749
2012m8,-.8119602
2012m9,-1.03375
2012m10,-1.066885
2012m11,-.8862223
2012m12,-.3432989
2013m1,.3468755
2013m2,.371159
2013m3,.2899031
2013m4,.0744178
2013m5,-.2211065
2013m6,-.310438
2013m7,-.2561911
2013m8,-.397952
2013m9,-.5516942
2013m10,-.6687087
2013m11,-.8538467
2013m12,-.8910871
2014m1,-.6247748
2014m2,-.3655263
2014m3,-.2375699
2014m4,-.2839595
2014m5,-.3123201
2014m6,-.1606319
2014m7,.0371575
2014m8,.1400366
2014m9,.2531964
2014m10,.2297222
2014m11,.0482192
2014m12,.2827941
2015m1,.746002
2015m2,1.12993
2015m3,1.426323
2015m4,1.559125
2015m5,1.364969
2015m6,1.270075
2015m7,1.088776
2015m8,.8331505
2015m9,.4839429
2015m10,.2670626
2015m11,.110196
2015m12,.3705828
2016m1,1.045089
2016m2,1.580515
2016m3,2.232027
2016m4,2.92751
