date,cat_spirituality
2008m1,.7165601
2008m2,.8208461
2008m3,.7417114
2008m4,.4996791
2008m5,-.151323
2008m6,-.8405551
2008m7,-1.107093
2008m8,-.6866718
2008m9,.1719698
2008m10,.7235962
2008m11,.8205057
2008m12,.6301242
2009m1,.5969277
2009m2,.9057891
2009m3,.9690526
2009m4,.7434976
2009m5,.0990271
2009m6,-.6792666
2009m7,-.904685
2009m8,-.3937564
2009m9,.6305938
2009m10,1.445399
2009m11,1.601701
2009m12,1.347253
2010m1,1.288615
2010m2,1.577847
2010m3,1.747387
2010m4,1.516335
2010m5,.6493502
2010m6,-.3956003
2010m7,-.6741255
2010m8,-.154506
2010m9,.785394
2010m10,1.337507
2010m11,1.28981
2010m12,.8276758
2011m1,.4780971
2011m2,.4187352
2011m3,.401554
2011m4,.228519
2011m5,-.2917832
2011m6,-.9387318
2011m7,-1.283364
2011m8,-1.072463
2011m9,-.4972411
2011m10,-.0637774
2011m11,-.0076853
2011m12,-.110682
2012m1,-.0044022
2012m2,.1685452
2012m3,.1958137
2012m4,-.0215757
2012m5,-.5086027
2012m6,-1.058287
2012m7,-1.117762
2012m8,-.6765302
2012m9,-.1105773
2012m10,.0550354
2012m11,-.0738229
2012m12,-.3017232
2013m1,-.2352562
2013m2,.0023419
2013m3,.0743041
2013m4,-.086695
2013m5,-.7231871
2013m6,-1.34856
2013m7,-1.467269
2013m8,-1.15179
2013m9,-.5169773
2013m10,-.1615215
2013m11,-.1803281
2013m12,-.4073118
2014m1,-.4222549
2014m2,-.1018511
2014m3,.1655749
2014m4,.0778924
2014m5,-.5320101
2014m6,-1.177588
2014m7,-1.372173
2014m8,-1.002252
2014m9,-.33788
2014m10,.0306549
2014m11,.0559695
2014m12,-.0522179
2015m1,-.0207297
2015m2,.276531
2015m3,.4283206
2015m4,.1136562
2015m5,-.6910731
2015m6,-1.30284
2015m7,-1.334117
2015m8,-.7642554
2015m9,.1223077
2015m10,.5344738
2015m11,.4889023
2015m12,.234213
2016m1,.1173358
2016m2,.1770484
2016m3,.1559847
2016m4,.0307657
