date,swb_happiness
2011m1,-.6843975
2011m2,.2067719
2011m3,.657408
2011m4,.492364
2011m5,.0359675
2011m6,-.1878629
2011m7,-.3865619
2011m8,-.6332585
2011m9,-.3316296
2011m10,.2074014
2011m11,.2980819
2011m12,.3939877
2012m1,.364178
2012m2,.8067762
2012m3,1.142512
2012m4,1.179268
2012m5,.8842536
2012m6,.661301
2012m7,.2631941
2012m8,-.167766
2012m9,-.0074071
2012m10,.5185115
2012m11,.960703
2012m12,1.122958
2013m1,.725944
2013m2,.5602551
2013m3,.7899584
2013m4,.9724291
2013m5,1.037544
2013m6,.9922338
2013m7,.7857323
2013m8,.2786779
2013m9,.3370398
2013m10,.6358139
2013m11,.9525782
2013m12,.9665663
2014m1,.6909645
2014m2,.7702249
2014m3,1.107206
2014m4,1.494985
2014m5,1.378065
2014m6,.9589424
2014m7,.5319711
2014m8,.1990489
2014m9,.1353455
2014m10,.2980827
2014m11,.5362163
2014m12,.4844209
2015m1,.4171103
2015m2,1.056592
2015m3,1.724092
2015m4,2.044718
2015m5,1.747071
2015m6,1.070854
2015m7,.4205994
2015m8,.1670981
2015m9,.8233361
2015m10,1.451499
2015m11,1.922618
2015m12,1.937464
2016m1,1.596953
2016m2,1.699582
2016m3,1.773466
2016m4,1.970055
