date,cat_financial_security
2008m1,1.623351
2008m2,.7755011
2008m3,.4305956
2008m4,.0769416
2008m5,-.0711187
2008m6,-.0497943
2008m7,-.0702775
2008m8,-.0302895
2008m9,.355009
2008m10,.5997981
2008m11,.2721199
2008m12,-.0174933
2009m1,.2351048
2009m2,.4254289
2009m3,.316229
2009m4,.0177281
2009m5,-.1566684
2009m6,.0219635
2009m7,.1470951
2009m8,.1412813
2009m9,.081414
2009m10,.0548181
2009m11,.086909
2009m12,.4500634
2010m1,1.067472
2010m2,1.280372
2010m3,1.551522
2010m4,1.523451
2010m5,1.249467
2010m6,1.150907
2010m7,.9802622
2010m8,.9112033
2010m9,.70873
2010m10,.6295758
2010m11,.4683122
2010m12,.3189864
2011m1,.3561161
2011m2,-.0165358
2011m3,-.3934437
2011m4,-.6013289
2011m5,-.518424
2011m6,-.0914157
2011m7,.2508857
2011m8,-.0173928
2011m9,-.7341982
2011m10,-1.228321
2011m11,-1.530068
2011m12,-1.17384
2012m1,-.3576726
2012m2,-.1496309
2012m3,-.2199445
2012m4,-.4129186
2012m5,-.6965636
2012m6,-.6570455
2012m7,-.5855037
2012m8,-.7081085
2012m9,-1.060769
2012m10,-1.370924
2012m11,-1.52899
2012m12,-1.106295
2013m1,-.1307118
2013m2,.1452393
2013m3,-.1061884
2013m4,-.4785262
2013m5,-.8608757
2013m6,-1.106535
2013m7,-1.346834
2013m8,-1.373572
2013m9,-1.164158
2013m10,-.9514494
2013m11,-.9269509
2013m12,-.6263957
2014m1,-.0455641
2014m2,.0392613
2014m3,-.1437703
2014m4,-.1955355
2014m5,-.1469933
2014m6,.0256267
2014m7,.1248755
2014m8,.0413697
2014m9,-.1478316
2014m10,-.2191341
2014m11,-.4049238
2014m12,-.2723154
2015m1,.1985541
2015m2,.2727794
2015m3,.1891159
2015m4,.1086412
2015m5,.1312465
2015m6,.4220721
2015m7,.6661437
2015m8,.4887566
2015m9,-.0077169
2015m10,-.3596717
2015m11,-.4935575
2015m12,-.198853
2016m1,.557128
2016m2,1.17735
2016m3,1.744681
2016m4,2.371584
