region,date,christianisme
Rhone-Alpes,2013m1,-.71652484
Rhone-Alpes,2013m2,-.45020851
Rhone-Alpes,2013m3,.50919586
Rhone-Alpes,2013m4,-.81846392
Rhone-Alpes,2013m5,-.61581439
Rhone-Alpes,2013m6,-.73977363
Rhone-Alpes,2013m7,-.78325748
Rhone-Alpes,2013m8,-.5805586
Rhone-Alpes,2013m9,-.41130996
Rhone-Alpes,2013m10,-.72730565
Rhone-Alpes,2013m11,-.61171854
Rhone-Alpes,2013m12,.15153334
Rhone-Alpes,2014m1,.064136073
Rhone-Alpes,2014m2,.27876237
Rhone-Alpes,2014m3,.019101094
Rhone-Alpes,2014m4,.82009393
Rhone-Alpes,2014m5,-.096233487
Rhone-Alpes,2014m6,-.38696206
Rhone-Alpes,2014m7,-.78186178
Rhone-Alpes,2014m8,-.35793376
Rhone-Alpes,2014m9,-.43428707
Rhone-Alpes,2014m10,-.26286665
Rhone-Alpes,2014m11,-.096189372
Rhone-Alpes,2014m12,1.3982731
Rhone-Alpes,2015m1,1.1212593
Rhone-Alpes,2015m2,.35578549
Rhone-Alpes,2015m3,.59391516
Rhone-Alpes,2015m4,.65144658
Rhone-Alpes,2015m5,.45665142
Rhone-Alpes,2015m6,.15384978
Rhone-Alpes,2015m7,-.40756902
Rhone-Alpes,2015m8,.35587692
Rhone-Alpes,2015m9,-.22311173
Rhone-Alpes,2015m10,-.25051308
Rhone-Alpes,2015m11,.59314358
Rhone-Alpes,2015m12,.99881387
Rhone-Alpes,2016m1,.37457585
Rhone-Alpes,2016m2,-.064309299
Rhone-Alpes,2016m3,.77884114
Rhone-Alpes,2016m4,-.065625675
Rhone-Alpes,2016m5,.26618856
Rhone-Alpes,2016m6,-.74510294
Rhone-Alpes,2016m7,-.41570795
Rhone-Alpes,2016m8,.2009339
Rhone-Alpes,2016m9,-.11177327
Rhone-Alpes,2016m10,-.093192354
Rhone-Alpes,2016m11,-.14175086
Rhone-Alpes,2016m12,.63684773
Rhone-Alpes,2017m1,-.21791889
Rhone-Alpes,2017m2,.24580182
Rhone-Alpes,2017m3,.50677645
