date,swb_worry
2008m1,.3974218
2008m2,.5882717
2008m3,.6928768
2008m4,.771478
2008m5,.8181206
2008m6,.9539019
2008m7,1.125311
2008m8,1.372358
2008m9,1.895604
2008m10,2.571087
2008m11,3.048607
2008m12,3.297481
2009m1,3.470964
2009m2,3.492664
2009m3,3.297447
2009m4,3.04006
2009m5,2.904248
2009m6,2.978349
2009m7,3.058424
2009m8,3.063415
2009m9,3.003635
2009m10,3.035847
2009m11,3.064557
2009m12,3.042819
2010m1,2.889
2010m2,2.78352
2010m3,2.706371
2010m4,2.531535
2010m5,2.60381
2010m6,3.037345
2010m7,3.405823
2010m8,3.389888
2010m9,3.120368
2010m10,2.928121
2010m11,2.830456
2010m12,2.65923
2011m1,2.30886
2011m2,1.946551
2011m3,1.758868
2011m4,1.884615
2011m5,2.067106
2011m6,2.33032
2011m7,2.71007
2011m8,2.918299
2011m9,2.857341
2011m10,2.603992
2011m11,2.156224
2011m12,1.736827
2012m1,1.443344
2012m2,1.245767
2012m3,1.169463
2012m4,1.204847
2012m5,1.422124
2012m6,1.791588
2012m7,2.104835
2012m8,2.362427
2012m9,2.528356
2012m10,2.600351
2012m11,2.421856
2012m12,2.050069
2013m1,1.653337
2013m2,1.295578
2013m3,1.064502
2013m4,1.029811
2013m5,1.074601
2013m6,1.104723
2013m7,1.170894
2013m8,1.303585
2013m9,1.449754
2013m10,1.574641
2013m11,1.494429
2013m12,1.284226
2014m1,1.004762
2014m2,.729488
2014m3,.5388839
2014m4,.4796025
2014m5,.6507298
2014m6,.8923403
2014m7,1.082386
2014m8,1.024048
2014m9,.9493188
2014m10,.9886665
2014m11,.963305
2014m12,.8901625
2015m1,.7334529
2015m2,.5702006
2015m3,.4785854
2015m4,.477515
2015m5,.5510736
2015m6,.6775368
2015m7,.8228334
2015m8,.8471312
2015m9,.8768415
2015m10,1.014316
2015m11,1.029123
2015m12,.8676502
2016m1,.6231879
2016m2,.4356864
2016m3,.5754801
2016m4,1.019975
