date,swb_anger
2011m1,-1.97817
2011m2,-1.190023
2011m3,-.6425181
2011m4,-.4480859
2011m5,-.4563818
2011m6,-.1781584
2011m7,.2524807
2011m8,.5057132
2011m9,.3371147
2011m10,-.1206805
2011m11,-.5806469
2011m12,-.845793
2012m1,-.8467435
2012m2,-.8152837
2012m3,-.5624281
2012m4,-.3140511
2012m5,.0468538
2012m6,.4372303
2012m7,.7419673
2012m8,1.005135
2012m9,.8556643
2012m10,.3484018
2012m11,-.1143997
2012m12,-.4259049
2013m1,-.7137937
2013m2,-.8460965
2013m3,-1.016056
2013m4,-.873803
2013m5,-.2359142
2013m6,.4814751
2013m7,1.098501
2013m8,1.657085
2013m9,1.696392
2013m10,1.361636
2013m11,.9984311
2013m12,.7909003
2014m1,.7434066
2014m2,.6305789
2014m3,.2486059
2014m4,.1717891
2014m5,.3879802
2014m6,.8316214
2014m7,1.365875
2014m8,1.973094
2014m9,2.004641
2014m10,1.475192
2014m11,.9474459
2014m12,.5384822
2015m1,.2866695
2015m2,.2076563
2015m3,.4385931
2015m4,.6875947
2015m5,.8570337
2015m6,.857674
2015m7,1.044579
2015m8,1.61876
2015m9,1.870171
2015m10,1.48504
2015m11,.8699242
2015m12,.3631757
2016m1,.0252249
2016m2,-.1074452
2016m3,-.0324044
2016m4,-.0410782
