region,date,islam
Midi-Pyrenees,2013m1,-.881522
Midi-Pyrenees,2013m2,-.72975421
Midi-Pyrenees,2013m3,-.54373443
Midi-Pyrenees,2013m4,-.37598208
Midi-Pyrenees,2013m5,-.030044617
Midi-Pyrenees,2013m6,-.22246777
Midi-Pyrenees,2013m7,.17972338
Midi-Pyrenees,2013m8,.84311855
Midi-Pyrenees,2013m9,-.54656392
Midi-Pyrenees,2013m10,-.37303948
Midi-Pyrenees,2013m11,.031337839
Midi-Pyrenees,2013m12,-.86178178
Midi-Pyrenees,2014m1,.47154227
Midi-Pyrenees,2014m2,-.40247053
Midi-Pyrenees,2014m3,.28216383
Midi-Pyrenees,2014m4,.16517729
Midi-Pyrenees,2014m5,-.4966307
Midi-Pyrenees,2014m6,-.76822579
Midi-Pyrenees,2014m7,-.085583635
Midi-Pyrenees,2014m8,-.55000222
Midi-Pyrenees,2014m9,-.48596022
Midi-Pyrenees,2014m10,-.87553608
Midi-Pyrenees,2014m11,-.34114277
Midi-Pyrenees,2014m12,1.2127088
Midi-Pyrenees,2015m1,3.929069
Midi-Pyrenees,2015m2,1.3213081
Midi-Pyrenees,2015m3,.10501458
Midi-Pyrenees,2015m4,-.07141798
Midi-Pyrenees,2015m5,.56135345
Midi-Pyrenees,2015m6,.18857458
Midi-Pyrenees,2015m7,.56932259
Midi-Pyrenees,2015m8,.30152398
Midi-Pyrenees,2015m9,.49487454
Midi-Pyrenees,2015m10,-.21711639
Midi-Pyrenees,2015m11,2.1103406
Midi-Pyrenees,2015m12,.95457721
Midi-Pyrenees,2016m1,-.36067384
Midi-Pyrenees,2016m2,-.99158967
Midi-Pyrenees,2016m3,-.26882145
Midi-Pyrenees,2016m4,-.87693304
Midi-Pyrenees,2016m5,-.95763963
Midi-Pyrenees,2016m6,-.55551624
Midi-Pyrenees,2016m7,.13546939
Midi-Pyrenees,2016m8,.40437627
Midi-Pyrenees,2016m9,-.050202303
Midi-Pyrenees,2016m10,-.053959016
Midi-Pyrenees,2016m11,.31646365
Midi-Pyrenees,2016m12,.30206612
Midi-Pyrenees,2017m1,-.32998127
Midi-Pyrenees,2017m2,-.54738438
Midi-Pyrenees,2017m3,-1.4774654
