date,cat_housing
2011m1,.6970779
2011m2,.442537
2011m3,.2912389
2011m4,.3064558
2011m5,.4812818
2011m6,.8416451
2011m7,1.166884
2011m8,1.446359
2011m9,1.329577
2011m10,1.169016
2011m11,.9752613
2011m12,1.011312
2012m1,1.241036
2012m2,1.247603
2012m3,1.24979
2012m4,1.270971
2012m5,1.366181
2012m6,1.471321
2012m7,1.450029
2012m8,1.324971
2012m9,1.054983
2012m10,.6720192
2012m11,.192682
2012m12,-.1887749
2013m1,-.0998156
2013m2,.208078
2013m3,.4517044
2013m4,.580308
2013m5,.7009994
2013m6,.6897946
2013m7,.301504
2013m8,-.2305603
2013m9,-.5814583
2013m10,-.7365001
2013m11,-.8463884
2013m12,-.9159088
2014m1,-.8691168
2014m2,-.8231065
2014m3,-.7422273
2014m4,-.7174003
2014m5,-.7201487
2014m6,-.6648889
2014m7,-.6712444
2014m8,-.7653864
2014m9,-.8971068
2014m10,-1.020111
2014m11,-1.020145
2014m12,-.8497692
2015m1,-.4887538
2015m2,-.2347047
2015m3,-.1615315
2015m4,-.1733306
2015m5,-.1215406
2015m6,.0700974
2015m7,.1885381
2015m8,-.0142756
2015m9,-.4154191
2015m10,-.9246939
2015m11,-1.424667
2015m12,-1.740186
2016m1,-1.787991
2016m2,-1.775643
2016m3,-1.670878
2016m4,-1.597585
