date,cat_family_stress
2008m1,-.4013379
2008m2,-.9219907
2008m3,-.9148456
2008m4,-.5232202
2008m5,-.2752832
2008m6,-.0135893
2008m7,.3966129
2008m8,.7045909
2008m9,.7012269
2008m10,.2775203
2008m11,-.2780448
2008m12,-.507652
2009m1,-.2037163
2009m2,.1610814
2009m3,.5360827
2009m4,.7548796
2009m5,1.215302
2009m6,1.759508
2009m7,2.072181
2009m8,1.954693
2009m9,1.324425
2009m10,.6557526
2009m11,.157873
2009m12,.3174976
2010m1,.7400425
2010m2,.8486365
2010m3,1.054515
2010m4,1.304093
2010m5,1.460409
2010m6,1.361048
2010m7,.8012007
2010m8,.1475971
2010m9,-.3778305
2010m10,-.6859582
2010m11,-.9446397
2010m12,-1.109565
2011m1,-.8426235
2011m2,-.7410485
2011m3,-.4602725
2011m4,-.0908201
2011m5,.2970715
2011m6,.7948522
2011m7,1.064325
2011m8,.9364521
2011m9,.3602306
2011m10,-.2190438
2011m11,-.7109267
2011m12,-.842486
2012m1,-.5174588
2012m2,-.3712262
2012m3,-.2448048
2012m4,.0711636
2012m5,.4940639
2012m6,.9745543
2012m7,1.377738
2012m8,1.439157
2012m9,.7817506
2012m10,-.0685901
2012m11,-.7414498
2012m12,-.9344788
2013m1,-.6105192
2013m2,-.5223015
2013m3,-.5374344
2013m4,-.3664555
2013m5,-.1227882
2013m6,.1969442
2013m7,.4569273
2013m8,.3316487
2013m9,-.1964647
2013m10,-.7574566
2013m11,-1.157486
2013m12,-1.163355
2014m1,-.7345271
2014m2,-.622317
2014m3,-.7170725
2014m4,-.6395811
2014m5,-.388284
2014m6,-.0639609
2014m7,.0429939
2014m8,-.1593649
2014m9,-.5072457
2014m10,-.9464951
2014m11,-1.312975
2014m12,-1.217968
2015m1,-.7759639
2015m2,-.6220469
2015m3,-.4861764
2015m4,-.2058352
2015m5,.2478277
2015m6,.9587874
2015m7,1.195024
2015m8,.812014
2015m9,.1751983
2015m10,-.4841792
2015m11,-.8663055
2015m12,-.8646953
2016m1,-.5023746
2016m2,-.496722
2016m3,-.7980356
2016m4,-.9262056
