date,cat_spirituality
2011m1,-.1489346
2011m2,.0701669
2011m3,.2791887
2011m4,.2363963
2011m5,-.2666578
2011m6,-.8112243
2011m7,-.8755721
2011m8,-.3870413
2011m9,.3494655
2011m10,.7103124
2011m11,.5036756
2011m12,.0915666
2012m1,-.0222339
2012m2,.0658497
2012m3,-.0330948
2012m4,-.2321099
2012m5,-.724562
2012m6,-1.150162
2012m7,-1.087887
2012m8,-.5499268
2012m9,.2085769
2012m10,.3945312
2012m11,.2375976
2012m12,-.1829208
2013m1,-.3708661
2013m2,-.2679873
2013m3,-.0710555
2013m4,-.1222324
2013m5,-.7335449
2013m6,-1.314117
2013m7,-1.27753
2013m8,-.7260958
2013m9,.2121109
2013m10,.6908632
2013m11,.590169
2013m12,.2768999
2014m1,.2252798
2014m2,.4995134
2014m3,.6505873
2014m4,.5431865
2014m5,-.1523538
2014m6,-.9389032
2014m7,-1.072994
2014m8,-.4518253
2014m9,.6179892
2014m10,1.080179
2014m11,.8448209
2014m12,.4714798
2015m1,.4751135
2015m2,.8830323
2015m3,1.166385
2015m4,1.039838
2015m5,.1422272
2015m6,-.8153092
2015m7,-1.185306
2015m8,-.6383346
2015m9,.3878999
2015m10,.8505183
2015m11,.6809021
2015m12,.2011271
2016m1,.0224407
2016m2,.1316748
2016m3,.2295791
2016m4,.5496383
