date,swb_laugh
2008m1,.1350158
2008m2,.6235056
2008m3,1.200481
2008m4,1.23844
2008m5,1.117817
2008m6,.8474032
2008m7,.5141375
2008m8,-.0320276
2008m9,-.2513116
2008m10,-.4191233
2008m11,-.8443049
2008m12,-1.440565
2009m1,-1.949451
2009m2,-1.969992
2009m3,-1.889162
2009m4,-1.574261
2009m5,-1.130751
2009m6,-.9553761
2009m7,-1.364563
2009m8,-1.78005
2009m9,-1.57435
2009m10,-1.024688
2009m11,-.328313
2009m12,-.0117098
2010m1,-.2341278
2010m2,-.1326825
2010m3,.0498623
2010m4,.3516095
2010m5,.3329507
2010m6,-.1976646
2010m7,-.884638
2010m8,-1.33743
2010m9,-1.089545
2010m10,-.4632031
2010m11,-.3693631
2010m12,-.6749321
2011m1,-.6439978
2011m2,-.1526534
2011m3,.3062926
2011m4,.5772902
2011m5,.5433747
2011m6,-.0144007
2011m7,-.7098427
2011m8,-1.085042
2011m9,-.7363269
2011m10,-.0983475
2011m11,.5750337
2011m12,.9468963
2012m1,.7843336
2012m2,.6061833
2012m3,.6158372
2012m4,.7238685
2012m5,.6123631
2012m6,.3389476
2012m7,.2384102
2012m8,.1569741
2012m9,.2037836
2012m10,.0612214
2012m11,-.1380307
2012m12,-.8466985
2013m1,-1.372332
2013m2,-1.068961
2013m3,-.3926725
2013m4,-.1038707
2013m5,.1597591
2013m6,.3807736
2013m7,.1910127
2013m8,-.0121011
2013m9,.1620981
2013m10,.2897462
2013m11,.2556619
2013m12,.0222319
2014m1,-.4734517
2014m2,-.6643822
2014m3,-.3172786
2014m4,-.0822558
2014m5,-.0990823
2014m6,-.3517591
2014m7,-.6476844
2014m8,-.8256209
2014m9,-.684021
2014m10,-.5081258
2014m11,-.4027771
2014m12,-.5993784
2015m1,-.842043
2015m2,-.6110801
2015m3,-.1485354
2015m4,.0908292
2015m5,.0789787
2015m6,-.310713
2015m7,-.8389334
2015m8,-1.281912
2015m9,-1.448883
2015m10,-1.488307
2015m11,-1.361334
2015m12,-1.103941
2016m1,-1.067481
2016m2,-1.149114
2016m3,-1.114532
2016m4,-.9482716
