region,date,mal_etre
Lorraine,2013m1,-.34486592
Lorraine,2013m2,.0026903506
Lorraine,2013m3,.0062607825
Lorraine,2013m4,-.57739991
Lorraine,2013m5,-.48414719
Lorraine,2013m6,-.7484991
Lorraine,2013m7,-1.1928456
Lorraine,2013m8,-.91491681
Lorraine,2013m9,-.12574202
Lorraine,2013m10,-.40408063
Lorraine,2013m11,-.37296587
Lorraine,2013m12,-.6547097
Lorraine,2014m1,-.02280069
Lorraine,2014m2,.074000396
Lorraine,2014m3,-.56525731
Lorraine,2014m4,-.52549374
Lorraine,2014m5,.10103845
Lorraine,2014m6,-.13292803
Lorraine,2014m7,-.55934209
Lorraine,2014m8,-.63262528
Lorraine,2014m9,.02949791
Lorraine,2014m10,-.059794202
Lorraine,2014m11,-.14670709
Lorraine,2014m12,-.55010384
Lorraine,2015m1,-.046981223
Lorraine,2015m2,.054316368
Lorraine,2015m3,.32596949
Lorraine,2015m4,.060304042
Lorraine,2015m5,.24605155
Lorraine,2015m6,-.19222742
Lorraine,2015m7,-.18072557
Lorraine,2015m8,-.028314827
Lorraine,2015m9,.79031587
Lorraine,2015m10,.37396672
Lorraine,2015m11,.3670364
Lorraine,2015m12,-.20061794
Lorraine,2016m1,.78128093
Lorraine,2016m2,.43577868
Lorraine,2016m3,.48778912
Lorraine,2016m4,.58452702
Lorraine,2016m5,.61709458
Lorraine,2016m6,-.0022211338
Lorraine,2016m7,-.31854862
Lorraine,2016m8,.27636588
Lorraine,2016m9,.39744741
Lorraine,2016m10,.63944221
Lorraine,2016m11,.80446112
Lorraine,2016m12,.39790681
Lorraine,2017m1,.665892
Lorraine,2017m2,.74775845
Lorraine,2017m3,1.1150575
