region,date,travail
Midi-Pyrenees,2013m1,1.8464561
Midi-Pyrenees,2013m2,.8861047
Midi-Pyrenees,2013m3,1.1213615
Midi-Pyrenees,2013m4,.55178946
Midi-Pyrenees,2013m5,.033131488
Midi-Pyrenees,2013m6,.33814856
Midi-Pyrenees,2013m7,-.66771424
Midi-Pyrenees,2013m8,-1.6904409
Midi-Pyrenees,2013m9,.17942542
Midi-Pyrenees,2013m10,.90954667
Midi-Pyrenees,2013m11,.36112991
Midi-Pyrenees,2013m12,-.55890924
Midi-Pyrenees,2014m1,.70904988
Midi-Pyrenees,2014m2,.93175316
Midi-Pyrenees,2014m3,1.2141466
Midi-Pyrenees,2014m4,.43541664
Midi-Pyrenees,2014m5,.51601005
Midi-Pyrenees,2014m6,.45758104
Midi-Pyrenees,2014m7,-.62475628
Midi-Pyrenees,2014m8,-.95763254
Midi-Pyrenees,2014m9,.75178009
Midi-Pyrenees,2014m10,.94283634
Midi-Pyrenees,2014m11,1.0020531
Midi-Pyrenees,2014m12,-.78034246
Midi-Pyrenees,2015m1,1.1318389
Midi-Pyrenees,2015m2,1.2170675
Midi-Pyrenees,2015m3,2.0506582
Midi-Pyrenees,2015m4,.50634587
Midi-Pyrenees,2015m5,.71848774
Midi-Pyrenees,2015m6,.7565226
Midi-Pyrenees,2015m7,-.32119408
Midi-Pyrenees,2015m8,-1.1716202
Midi-Pyrenees,2015m9,.16104628
Midi-Pyrenees,2015m10,-.32661587
Midi-Pyrenees,2015m11,-.16862044
Midi-Pyrenees,2015m12,-1.4825419
Midi-Pyrenees,2016m1,-.032864328
Midi-Pyrenees,2016m2,-.23322774
Midi-Pyrenees,2016m3,-.21446957
Midi-Pyrenees,2016m4,-.80986148
Midi-Pyrenees,2016m5,-.67632586
Midi-Pyrenees,2016m6,-.72063071
Midi-Pyrenees,2016m7,-1.4484696
Midi-Pyrenees,2016m8,-1.728928
Midi-Pyrenees,2016m9,-.43499738
Midi-Pyrenees,2016m10,-.67430758
Midi-Pyrenees,2016m11,-.95305467
Midi-Pyrenees,2016m12,-1.4780366
Midi-Pyrenees,2017m1,-.80000377
Midi-Pyrenees,2017m2,-.34225363
Midi-Pyrenees,2017m3,-.23706335
