date,cat_personal_security
2011m1,-.0690897
2011m2,-.0343023
2011m3,-.1339419
2011m4,-.3291547
2011m5,-.5572095
2011m6,-.7366127
2011m7,-.763822
2011m8,-.5970607
2011m9,-.3228431
2011m10,-.2145662
2011m11,-.2353519
2011m12,-.3995966
2012m1,-.48106
2012m2,-.4313169
2012m3,-.3035669
2012m4,-.2907307
2012m5,-.2751374
2012m6,-.2839336
2012m7,-.2376182
2012m8,-.3940042
2012m9,-.3964015
2012m10,.0164044
2012m11,.9466853
2012m12,2.044394
2013m1,2.103743
2013m2,1.460516
2013m3,1.184806
2013m4,1.226335
2013m5,.4966377
2013m6,-.1920093
2013m7,-.569642
2013m8,-.7396626
2013m9,-.6799073
2013m10,-.5664838
2013m11,-.5316399
2013m12,-.6362976
2014m1,-.645122
2014m2,-.5446374
2014m3,-.4578809
2014m4,-.5284489
2014m5,-.6410182
2014m6,-.7203459
2014m7,-.6760894
2014m8,-.5604488
2014m9,-.3727238
2014m10,-.1791802
2014m11,-.0180281
2014m12,.0442867
2015m1,-.0201416
2015m2,-.2193535
2015m3,-.306335
2015m4,-.3105941
2015m5,-.3662571
2015m6,-.3024735
2015m7,-.2243556
2015m8,-.1962201
2015m9,.14129
2015m10,.9577706
2015m11,1.923879
2015m12,1.996589
2016m1,1.451848
2016m2,.9979765
2016m3,.8744755
2016m4,.8249789
