date,swb_happiness
2008m1,-.578432
2008m2,-.4260086
2008m3,-.0883281
2008m4,.0451055
2008m5,-.0168224
2008m6,-.5307023
2008m7,-1.003327
2008m8,-1.38457
2008m9,-1.541673
2008m10,-1.543443
2008m11,-1.141019
2008m12,-.6711105
2009m1,-1.126444
2009m2,-1.618981
2009m3,-1.576272
2009m4,-1.282382
2009m5,-1.302576
2009m6,-1.548885
2009m7,-2.060852
2009m8,-2.462032
2009m9,-2.579186
2009m10,-2.062932
2009m11,-1.602464
2009m12,-1.356699
2010m1,-1.743207
2010m2,-1.917143
2010m3,-2.165014
2010m4,-1.627279
2010m5,-1.054209
2010m6,-1.083871
2010m7,-1.40775
2010m8,-1.593247
2010m9,-1.358251
2010m10,-1.340008
2010m11,-1.202742
2010m12,-.8393837
2011m1,-.6135697
2011m2,-.3833625
2011m3,-.360103
2011m4,-.371785
2011m5,-.4421807
2011m6,-.4646333
2011m7,-.6166137
2011m8,-.9469097
2011m9,-1.061351
2011m10,-1.167714
2011m11,-.9657722
2011m12,-.7721587
2012m1,-.7869539
2012m2,-.7463115
2012m3,-.4855631
2012m4,-.0830337
2012m5,.0589576
2012m6,.0752616
2012m7,-.2252079
2012m8,-.6060887
2012m9,-.8018411
2012m10,-.8637367
2012m11,-.7850991
2012m12,-.8006473
2013m1,-1.056238
2013m2,-.8075398
2013m3,-.408019
2013m4,-.1355256
2013m5,.0612834
2013m6,.217548
2013m7,.0332372
2013m8,-.3735193
2013m9,-.6421713
2013m10,-.691773
2013m11,-.3782164
2013m12,-.3498597
2014m1,-.4624087
2014m2,-.4277561
2014m3,-.2711983
2014m4,-.1341048
2014m5,-.2485373
2014m6,-.2914494
2014m7,-.2191617
2014m8,.0938299
2014m9,.3509908
2014m10,.5498277
2014m11,.5702839
2014m12,.5224943
2015m1,.5206149
2015m2,.7080982
2015m3,.7129092
2015m4,.6114392
2015m5,.4974381
2015m6,.2098154
2015m7,-.1557148
2015m8,-.1725151
2015m9,-.0102125
2015m10,.2526541
2015m11,.4345877
2015m12,.4453245
2016m1,.3339186
2016m2,.4483383
2016m3,.3013994
2016m4,.1214595
