region,date,terrorisme
Bourgogne,2013m1,-.42910647
Bourgogne,2013m2,-.45817432
Bourgogne,2013m3,-.45303631
Bourgogne,2013m4,-.46331301
Bourgogne,2013m5,-.41201732
Bourgogne,2013m6,-.5510568
Bourgogne,2013m7,-.16020095
Bourgogne,2013m8,-.30730033
Bourgogne,2013m9,-.57332045
Bourgogne,2013m10,-.35393909
Bourgogne,2013m11,-.68645412
Bourgogne,2013m12,-.43482032
Bourgogne,2014m1,-.46955931
Bourgogne,2014m2,-.45195788
Bourgogne,2014m3,-.61335003
Bourgogne,2014m4,-.52490723
Bourgogne,2014m5,-.37078106
Bourgogne,2014m6,-.49465653
Bourgogne,2014m7,-.16852705
Bourgogne,2014m8,-.28091282
Bourgogne,2014m9,-.25443479
Bourgogne,2014m10,-.47936729
Bourgogne,2014m11,-.16628513
Bourgogne,2014m12,.38332269
Bourgogne,2015m1,1.2064633
Bourgogne,2015m2,.029676333
Bourgogne,2015m3,-.26171246
Bourgogne,2015m4,-.31374547
Bourgogne,2015m5,-.42618206
Bourgogne,2015m6,-.19343847
Bourgogne,2015m7,.03516154
Bourgogne,2015m8,.075121492
Bourgogne,2015m9,-.32121867
Bourgogne,2015m10,-.22254942
Bourgogne,2015m11,4.8375673
Bourgogne,2015m12,.30637497
Bourgogne,2016m1,.27286226
Bourgogne,2016m2,.149681
Bourgogne,2016m3,1.0380384
Bourgogne,2016m4,.24904093
Bourgogne,2016m5,-.17218247
Bourgogne,2016m6,.37754744
Bourgogne,2016m7,1.7167405
Bourgogne,2016m8,.39560601
Bourgogne,2016m9,-.067308865
Bourgogne,2016m10,-.29341313
Bourgogne,2016m11,-.30126527
Bourgogne,2016m12,.4829866
Bourgogne,2017m1,-.0021391704
Bourgogne,2017m2,-.054512039
Bourgogne,2017m3,-.042254999
