region,date,solidarite
PACA,2013m1,.49448311
PACA,2013m2,.33131295
PACA,2013m3,.14851364
PACA,2013m4,-.25308862
PACA,2013m5,.16397138
PACA,2013m6,-.11566658
PACA,2013m7,-1.5656407
PACA,2013m8,-1.6368358
PACA,2013m9,-.78089511
PACA,2013m10,-.66991967
PACA,2013m11,-.39100459
PACA,2013m12,-.4167015
PACA,2014m1,-.25285459
PACA,2014m2,-.080920421
PACA,2014m3,.072441898
PACA,2014m4,.078566045
PACA,2014m5,.10688441
PACA,2014m6,.0084198592
PACA,2014m7,-.65282953
PACA,2014m8,-.77232182
PACA,2014m9,.41550043
PACA,2014m10,.22363955
PACA,2014m11,.53293341
PACA,2014m12,-.14708392
PACA,2015m1,.23448662
PACA,2015m2,.40624806
PACA,2015m3,.21131696
PACA,2015m4,.44862691
PACA,2015m5,.23626469
PACA,2015m6,.065610036
PACA,2015m7,-.73091626
PACA,2015m8,-.65968323
PACA,2015m9,.53703767
PACA,2015m10,.50362849
PACA,2015m11,.6067673
PACA,2015m12,.20793077
PACA,2016m1,.9479416
PACA,2016m2,.71335059
PACA,2016m3,.39647964
PACA,2016m4,-.019602414
PACA,2016m5,.044232413
PACA,2016m6,-.094872229
PACA,2016m7,-.93631238
PACA,2016m8,-.78405356
PACA,2016m9,.48797101
PACA,2016m10,.55175173
PACA,2016m11,.73463184
PACA,2016m12,.23632848
PACA,2017m1,.35196039
PACA,2017m2,.23434983
PACA,2017m3,.6870023
