date,cat_health_worries
2008m1,-.3885699
2008m2,-.0448049
2008m3,.1296134
2008m4,-.0577149
2008m5,-.3495979
2008m6,-.56701
2008m7,-.4411079
2008m8,-.1265911
2008m9,.3103059
2008m10,.4362608
2008m11,.3932371
2008m12,.3590937
2009m1,.4386091
2009m2,.3435507
2009m3,.2186992
2009m4,.19179
2009m5,.2333397
2009m6,.4401876
2009m7,.5583611
2009m8,.6886663
2009m9,.8990019
2009m10,1.047688
2009m11,.7238725
2009m12,.3442689
2010m1,.241808
2010m2,.376018
2010m3,.57001
2010m4,.5318701
2010m5,.2326412
2010m6,-.3108818
2010m7,-.9272685
2010m8,-1.383204
2010m9,-1.593562
2010m10,-1.657314
2010m11,-1.362635
2010m12,-.4418673
2011m1,1.051873
2011m2,1.750402
2011m3,1.719871
2011m4,1.480412
2011m5,1.359877
2011m6,1.421991
2011m7,1.601702
2011m8,1.731328
2011m9,1.689903
2011m10,1.191195
2011m11,.7579768
2011m12,.6382127
2012m1,.9008912
2012m2,1.098108
2012m3,1.230037
2012m4,1.185647
2012m5,1.072024
2012m6,.7971665
2012m7,.6695949
2012m8,.6037597
2012m9,.5941685
2012m10,.4424047
2012m11,.1571397
2012m12,.012145
2013m1,.0569062
2013m2,.2107394
2013m3,.3612264
2013m4,.3727636
2013m5,.2735091
2013m6,-.0155559
2013m7,-.2541864
2013m8,-.3721077
2013m9,-.4586903
2013m10,-.4423137
2013m11,-.5141706
2013m12,-.5812511
2014m1,-.3816896
2014m2,-.3752514
2014m3,-.404213
2014m4,-.3755256
2014m5,-.3547755
2014m6,-.489613
2014m7,-.584023
2014m8,-.5735387
2014m9,-.5675112
2014m10,-.574173
2014m11,-.6771139
2014m12,-.7109148
2015m1,-.4533468
2015m2,-.1713082
2015m3,-.2480731
2015m4,-.7175673
2015m5,-1.012756
2015m6,-1.197687
2015m7,-1.234301
2015m8,-1.309411
2015m9,-1.498911
2015m10,-1.604673
2015m11,-1.745545
2015m12,-1.798366
2016m1,-1.562568
2016m2,-1.271974
2016m3,-1.085135
2016m4,-.8714961
