date,cat_civic_engagement
2011m1,.3120506
2011m2,.6184515
2011m3,.6051392
2011m4,.2600983
2011m5,-.2287745
2011m6,-.5637562
2011m7,-.5995209
2011m8,-.1935513
2011m9,.4784584
2011m10,.8626869
2011m11,.7642203
2011m12,.3289815
2012m1,.3320408
2012m2,.4057686
2012m3,.2685505
2012m4,.032218
2012m5,-.4801915
2012m6,-.8864018
2012m7,-.8518524
2012m8,-.3102156
2012m9,.4676132
2012m10,.8652862
2012m11,.8964875
2012m12,.4613863
2013m1,.3384058
2013m2,.3499284
2013m3,.2330241
2013m4,-.0570397
2013m5,-.6135692
2013m6,-1.133909
2013m7,-1.072204
2013m8,-.3097303
2013m9,.6467932
2013m10,1.024965
2013m11,.8109583
2013m12,.192485
2014m1,-.1174115
2014m2,.0479725
2014m3,.1539002
2014m4,-.0100899
2014m5,-.6526329
2014m6,-1.505076
2014m7,-1.771985
2014m8,-1.342826
2014m9,-.5638155
2014m10,-.138092
2014m11,-.0483836
2014m12,-.1141454
2015m1,.0916126
2015m2,.3344999
2015m3,.3718487
2015m4,.1634514
2015m5,-.4605101
2015m6,-1.269471
2015m7,-1.622707
2015m8,-1.246186
2015m9,-.3000382
2015m10,.5567265
2015m11,.9506269
2015m12,.7371146
2016m1,.7645205
2016m2,.9659745
2016m3,.9137865
2016m4,.8560552
