region,date,recherche_emploi
Bourgogne,2013m1,-.026669195
Bourgogne,2013m2,-.38540962
Bourgogne,2013m3,.067164652
Bourgogne,2013m4,-.79144883
Bourgogne,2013m5,-.84142709
Bourgogne,2013m6,-.98869872
Bourgogne,2013m7,-1.0320505
Bourgogne,2013m8,-1.3051958
Bourgogne,2013m9,.73345816
Bourgogne,2013m10,.18171695
Bourgogne,2013m11,-.23597653
Bourgogne,2013m12,-1.8052142
Bourgogne,2014m1,.86582023
Bourgogne,2014m2,1.0527763
Bourgogne,2014m3,.30737761
Bourgogne,2014m4,-.69052434
Bourgogne,2014m5,-.76503283
Bourgogne,2014m6,-.71062964
Bourgogne,2014m7,-.59222722
Bourgogne,2014m8,-.89528024
Bourgogne,2014m9,1.6767665
Bourgogne,2014m10,.47964779
Bourgogne,2014m11,-.12214153
Bourgogne,2014m12,-1.5458517
Bourgogne,2015m1,.52112764
Bourgogne,2015m2,1.9190861
Bourgogne,2015m3,.63534802
Bourgogne,2015m4,.41841432
Bourgogne,2015m5,.10244974
Bourgogne,2015m6,-.62257528
Bourgogne,2015m7,-1.0005381
Bourgogne,2015m8,-.20408855
Bourgogne,2015m9,1.1356475
Bourgogne,2015m10,.88790631
Bourgogne,2015m11,-.28969777
Bourgogne,2015m12,-.61346275
Bourgogne,2016m1,.69875753
Bourgogne,2016m2,.59970665
Bourgogne,2016m3,.84415495
Bourgogne,2016m4,.098448239
Bourgogne,2016m5,-.052663486
Bourgogne,2016m6,-.60423696
Bourgogne,2016m7,-1.4024643
Bourgogne,2016m8,-.4874562
Bourgogne,2016m9,1.1746244
Bourgogne,2016m10,1.7698967
Bourgogne,2016m11,.83850163
Bourgogne,2016m12,-.42527491
Bourgogne,2017m1,.45181698
Bourgogne,2017m2,.91922879
Bourgogne,2017m3,.95175445
