date,swb_sadness
2008m1,-.6266174
2008m2,-.3520011
2008m3,-.1146738
2008m4,.0290968
2008m5,.3018459
2008m6,.3249909
2008m7,.2434089
2008m8,.3184506
2008m9,.3327473
2008m10,.6039288
2008m11,1.269803
2008m12,1.649527
2009m1,1.799786
2009m2,1.684329
2009m3,1.176653
2009m4,1.01075
2009m5,1.075303
2009m6,1.029644
2009m7,1.045194
2009m8,1.355306
2009m9,1.15495
2009m10,.7531549
2009m11,.6355597
2009m12,.548749
2010m1,.1578929
2010m2,-.4492236
2010m3,-1.038506
2010m4,-1.19505
2010m5,-.4717809
2010m6,.2166153
2010m7,.4727379
2010m8,.3811148
2010m9,.0352192
2010m10,-.0695637
2010m11,-.2046633
2010m12,-.4938598
2011m1,-.9092973
2011m2,-1.151043
2011m3,-1.228928
2011m4,-1.118112
2011m5,-.8222178
2011m6,-.656264
2011m7,-.5998181
2011m8,-.7291703
2011m9,-.9595876
2011m10,-1.10244
2011m11,-1.159061
2011m12,-1.161098
2012m1,-1.204555
2012m2,-1.368026
2012m3,-1.635391
2012m4,-1.724807
2012m5,-1.420228
2012m6,-1.043966
2012m7,-.840916
2012m8,-.9058051
2012m9,-.7966697
2012m10,-.6444613
2012m11,-.3076334
2012m12,-.2021245
2013m1,-.5304278
2013m2,-.8640259
2013m3,-.9948692
2013m4,-1.060244
2013m5,-1.056638
2013m6,-1.178527
2013m7,-1.302657
2013m8,-1.39494
2013m9,-1.508704
2013m10,-1.481081
2013m11,-1.30135
2013m12,-1.013539
2014m1,-.9534843
2014m2,-1.154476
2014m3,-1.153913
2014m4,-1.180894
2014m5,-1.163226
2014m6,-1.083739
2014m7,-1.045756
2014m8,-1.129513
2014m9,-1.157784
2014m10,-1.039212
2014m11,-.8238352
2014m12,-.5480933
2015m1,-.4835614
2015m2,-.6078518
2015m3,-.6023998
2015m4,-.786472
2015m5,-1.025764
2015m6,-1.103019
2015m7,-1.075588
2015m8,-1.088726
2015m9,-1.152093
2015m10,-1.059002
2015m11,-1.058657
2015m12,-1.264412
2016m1,-1.55575
2016m2,-1.597575
2016m3,-1.158223
2016m4,-.5976232
