date,swb_anger
2008m1,-2.759857
2008m2,-1.908945
2008m3,-.9594958
2008m4,-.291352
2008m5,.0516285
2008m6,.1483673
2008m7,.2999946
2008m8,.5589786
2008m9,.8166055
2008m10,1.095901
2008m11,1.019473
2008m12,.3270743
2009m1,-.0625462
2009m2,.0354808
2009m3,.2738293
2009m4,.4048688
2009m5,.3590659
2009m6,.4592225
2009m7,.6620066
2009m8,.9248062
2009m9,.7902845
2009m10,.3370231
2009m11,-.2025875
2009m12,-.5771515
2010m1,-.6332396
2010m2,-.486052
2010m3,-.1460248
2010m4,.0193995
2010m5,-.0372465
2010m6,.2565487
2010m7,.6677202
2010m8,.6241165
2010m9,.2086415
2010m10,-.0136179
2010m11,-.372951
2010m12,-.6784585
2011m1,-1.235922
2011m2,-1.455298
2011m3,-1.285834
2011m4,-.7850268
2011m5,-.5324321
2011m6,-.3507343
2011m7,-.0920982
2011m8,-.1659268
2011m9,-.5789635
2011m10,-.73104
2011m11,-.95949
2011m12,-1.185433
2012m1,-1.740687
2012m2,-2.012613
2012m3,-2.083451
2012m4,-1.804775
2012m5,-1.447541
2012m6,-1.153916
2012m7,-.8407099
2012m8,-.4388415
2012m9,-.1507565
2012m10,.0813314
2012m11,-.314562
2012m12,-1.123751
2013m1,-1.865042
2013m2,-2.070385
2013m3,-1.737652
2013m4,-1.31969
2013m5,-.9225339
2013m6,-.8356765
2013m7,-.6859882
2013m8,-.4436406
2013m9,-.3800038
2013m10,-.1858222
2013m11,-.3899032
2013m12,-.6964657
2014m1,-1.097263
2014m2,-1.311776
2014m3,-1.08849
2014m4,-.8651047
2014m5,-.6965051
2014m6,-.4768521
2014m7,-.2089104
2014m8,-.0564883
2014m9,-.0040565
2014m10,-.0274883
2014m11,-.2599616
2014m12,-.4662335
2015m1,-.8645124
2015m2,-1.218518
2015m3,-1.223294
2015m4,-.8698599
2015m5,-.4251216
2015m6,-.1050017
2015m7,.2097943
2015m8,.3186151
2015m9,.2592246
2015m10,.2259656
2015m11,-.1758006
2015m12,-.5931371
2016m1,-.880236
2016m2,-.5661214
2016m3,.44444
2016m4,1.969881
