date,cat_social_progress
2008m1,-.2911501
2008m2,-.034591
2008m3,.1191283
2008m4,-.0388752
2008m5,-.4960435
2008m6,-.9711124
2008m7,-1.2627
2008m8,-1.117001
2008m9,-.4208871
2008m10,.0892895
2008m11,.2326897
2008m12,.2086534
2009m1,.3269816
2009m2,.5467216
2009m3,.6804484
2009m4,.6163421
2009m5,.1221808
2009m6,-.3865323
2009m7,-.8942343
2009m8,-.7968284
2009m9,-.0569385
2009m10,.6334543
2009m11,.9653328
2009m12,.9745328
2010m1,1.113847
2010m2,1.280938
2010m3,1.320436
2010m4,1.118184
2010m5,.5168188
2010m6,-.1040218
2010m7,-.4010026
2010m8,-.101256
2010m9,.7203789
2010m10,1.065014
2010m11,.8622817
2010m12,.3799293
2011m1,.1686167
2011m2,.17763
2011m3,.1265238
2011m4,-.183336
2011m5,-.6951653
2011m6,-1.296777
2011m7,-1.59911
2011m8,-1.371697
2011m9,-.6971686
2011m10,-.2680325
2011m11,-.1890783
2011m12,-.2799715
2012m1,-.1254831
2012m2,-.0372584
2012m3,-.0711158
2012m4,-.3161211
2012m5,-.8734791
2012m6,-1.498134
2012m7,-1.681422
2012m8,-1.416048
2012m9,-.7873267
2012m10,-.4371654
2012m11,-.5308042
2012m12,-.626618
2013m1,-.542154
2013m2,-.2043055
2013m3,.0990397
2013m4,.006769
2013m5,-.4751019
2013m6,-1.101701
2013m7,-1.336524
2013m8,-.897498
2013m9,.1134383
2013m10,.602025
2013m11,.4007002
2013m12,-.0017744
2014m1,-.023919
2014m2,.2249496
2014m3,.3557769
2014m4,.2966392
2014m5,-.1346487
2014m6,-.7289976
2014m7,-1.007275
2014m8,-.6334577
2014m9,.3215449
2014m10,.8795531
2014m11,1.021444
2014m12,.9370762
2015m1,.9715047
2015m2,1.189162
2015m3,1.323252
2015m4,1.15558
2015m5,.5668231
2015m6,-.2169461
2015m7,-.7362362
2015m8,-.5806617
2015m9,.1850639
2015m10,.6849835
2015m11,.7755795
2015m12,.7934504
2016m1,1.075403
2016m2,1.196406
2016m3,.9838902
2016m4,.4492809
