region,date,protectionnisme
PACA,2013m1,.4011811
PACA,2013m2,-.13527952
PACA,2013m3,.18215016
PACA,2013m4,.082150415
PACA,2013m5,.13562827
PACA,2013m6,-.089193076
PACA,2013m7,-1.9394557
PACA,2013m8,-2.0457079
PACA,2013m9,-.77110153
PACA,2013m10,-.63474059
PACA,2013m11,.074765921
PACA,2013m12,-.69444382
PACA,2014m1,-.029901978
PACA,2014m2,.13193558
PACA,2014m3,.43870583
PACA,2014m4,-.087199077
PACA,2014m5,.26615992
PACA,2014m6,-.42119476
PACA,2014m7,-1.6055707
PACA,2014m8,-1.4539495
PACA,2014m9,.41135848
PACA,2014m10,.5514344
PACA,2014m11,1.3780991
PACA,2014m12,.27110407
PACA,2015m1,.93475962
PACA,2015m2,.3231
PACA,2015m3,.0056379787
PACA,2015m4,.59306377
PACA,2015m5,.32841858
PACA,2015m6,.21686804
PACA,2015m7,-1.7369626
PACA,2015m8,-1.655485
PACA,2015m9,.33609363
PACA,2015m10,1.1574454
PACA,2015m11,2.0540178
PACA,2015m12,.20015661
PACA,2016m1,.67006302
PACA,2016m2,.13074614
PACA,2016m3,.37584579
PACA,2016m4,.30095315
PACA,2016m5,.71637976
PACA,2016m6,.82048291
PACA,2016m7,-1.1280758
PACA,2016m8,-1.8899534
PACA,2016m9,-.55971104
PACA,2016m10,1.1205202
PACA,2016m11,1.4152114
PACA,2016m12,-.067602448
PACA,2017m1,.23197564
PACA,2017m2,.40655851
PACA,2017m3,.30944267
