region,date,solidarite
Limousin,2013m1,-.39700833
Limousin,2013m2,-.3723616
Limousin,2013m3,.39374879
Limousin,2013m4,.059122417
Limousin,2013m5,-.19113004
Limousin,2013m6,-.22284903
Limousin,2013m7,-.94993055
Limousin,2013m8,-.47459063
Limousin,2013m9,.29941502
Limousin,2013m10,.59209961
Limousin,2013m11,.48976219
Limousin,2013m12,-.26091376
Limousin,2014m1,-.10103807
Limousin,2014m2,-.21036425
Limousin,2014m3,-.061308965
Limousin,2014m4,-.66413862
Limousin,2014m5,.35679373
Limousin,2014m6,.14120963
Limousin,2014m7,-.84706342
Limousin,2014m8,-.61345524
Limousin,2014m9,.4398874
Limousin,2014m10,.38732523
Limousin,2014m11,.27687871
Limousin,2014m12,-.19569843
Limousin,2015m1,.024383523
Limousin,2015m2,.3311545
Limousin,2015m3,.087895155
Limousin,2015m4,.190199
Limousin,2015m5,.36331579
Limousin,2015m6,.083951376
Limousin,2015m7,-.48028076
Limousin,2015m8,-.33666492
Limousin,2015m9,.49680468
Limousin,2015m10,.052553765
Limousin,2015m11,.33026797
Limousin,2015m12,-.2871846
Limousin,2016m1,.3168
Limousin,2016m2,-.24386653
Limousin,2016m3,.22721639
Limousin,2016m4,.23163226
Limousin,2016m5,-.040395539
Limousin,2016m6,-.15743299
Limousin,2016m7,-.84591895
Limousin,2016m8,-.12234809
Limousin,2016m9,.98512059
Limousin,2016m10,-.023118567
Limousin,2016m11,.33313233
Limousin,2016m12,-.31666443
Limousin,2017m1,.35094163
Limousin,2017m2,.39839137
Limousin,2017m3,.075018339
