region,date,travail
Pays de la Loire,2013m1,.22869854
Pays de la Loire,2013m2,.088199951
Pays de la Loire,2013m3,.15645736
Pays de la Loire,2013m4,-.71354604
Pays de la Loire,2013m5,-.4360849
Pays de la Loire,2013m6,-.24182272
Pays de la Loire,2013m7,-1.3426192
Pays de la Loire,2013m8,-1.5629654
Pays de la Loire,2013m9,.47227356
Pays de la Loire,2013m10,.054877505
Pays de la Loire,2013m11,-.35038444
Pays de la Loire,2013m12,-.91253251
Pays de la Loire,2014m1,.69560415
Pays de la Loire,2014m2,.527605
Pays de la Loire,2014m3,.31831694
Pays de la Loire,2014m4,-.33470267
Pays de la Loire,2014m5,-.22210327
Pays de la Loire,2014m6,-.29165021
Pays de la Loire,2014m7,-.64853626
Pays de la Loire,2014m8,-.62808526
Pays de la Loire,2014m9,.88803434
Pays de la Loire,2014m10,.49055326
Pays de la Loire,2014m11,.13238338
Pays de la Loire,2014m12,-.76758629
Pays de la Loire,2015m1,.64505476
Pays de la Loire,2015m2,.87698042
Pays de la Loire,2015m3,.75591969
Pays de la Loire,2015m4,-.0061883591
Pays de la Loire,2015m5,.081644259
Pays de la Loire,2015m6,.11010395
Pays de la Loire,2015m7,-.74130648
Pays de la Loire,2015m8,-.97716904
Pays de la Loire,2015m9,.75816071
Pays de la Loire,2015m10,.65643078
Pays de la Loire,2015m11,.0077200546
Pays de la Loire,2015m12,-.86854488
Pays de la Loire,2016m1,1.0413229
Pays de la Loire,2016m2,.91769087
Pays de la Loire,2016m3,.71348947
Pays de la Loire,2016m4,.17005904
Pays de la Loire,2016m5,.15978943
Pays de la Loire,2016m6,.031760022
Pays de la Loire,2016m7,-.99021935
Pays de la Loire,2016m8,-.77357423
Pays de la Loire,2016m9,.70610213
Pays de la Loire,2016m10,.33484739
Pays de la Loire,2016m11,.11611927
Pays de la Loire,2016m12,-.59358907
Pays de la Loire,2017m1,.58417666
Pays de la Loire,2017m2,.45764902
Pays de la Loire,2017m3,.56303453
