date,cat_healthy_habits
2011m1,1.283576
2011m2,.6215962
2011m3,.231307
2011m4,.1105461
2011m5,.2842292
2011m6,.614902
2011m7,.4532793
2011m8,-.044555
2011m9,-.3988461
2011m10,-.5200005
2011m11,-.5412139
2011m12,-.2207377
2012m1,.5860444
2012m2,1.194867
2012m3,1.44247
2012m4,1.131941
2012m5,.6836147
2012m6,.2189927
2012m7,-.200018
2012m8,-.6545789
2012m9,-1.043048
2012m10,-1.270982
2012m11,-1.304126
2012m12,-.6457999
2013m1,.5906727
2013m2,1.196214
2013m3,1.308008
2013m4,1.089166
2013m5,.7347175
2013m6,.5770679
2013m7,.3316856
2013m8,-.1927499
2013m9,-.8120587
2013m10,-1.241277
2013m11,-1.539071
2013m12,-1.448574
2014m1,-.8919905
2014m2,-.3256051
2014m3,.036254
2014m4,.1246887
2014m5,-.1598951
2014m6,-.2063174
2014m7,-.3733696
2014m8,-.6453426
2014m9,-.8244172
2014m10,-.9445078
2014m11,-.7585482
2014m12,-.2467615
2015m1,.484742
2015m2,.7754
2015m3,.8192556
2015m4,.6064644
2015m5,.3191674
2015m6,.1971284
2015m7,.057837
2015m8,-.2293313
2015m9,-.5267556
2015m10,-.8943127
2015m11,-.9553754
2015m12,-.5700936
2016m1,.3686079
2016m2,.8282656
2016m3,.7008587
2016m4,.6266941
