date,cat_financial_security
2011m1,1.373178
2011m2,.9353117
2011m3,.4939286
2011m4,.040175
2011m5,-.3125404
2011m6,-.4615552
2011m7,-.4856679
2011m8,-.5485628
2011m9,-.7353894
2011m10,-.9654984
2011m11,-1.076252
2011m12,-.9565357
2012m1,-.6790458
2012m2,-.660691
2012m3,-.8822178
2012m4,-1.078387
2012m5,-1.183481
2012m6,-1.223417
2012m7,-1.14452
2012m8,-1.157107
2012m9,-1.165942
2012m10,-.9132914
2012m11,-.1875713
2012m12,.7112045
2013m1,1.094239
2013m2,.6639014
2013m3,-.0162392
2013m4,-.352179
2013m5,-.3145659
2013m6,.2576045
2013m7,1.227043
2013m8,1.789523
2013m9,1.728553
2013m10,1.670441
2013m11,1.536565
2013m12,1.379999
2014m1,1.091238
2014m2,.7250262
2014m3,.5257819
2014m4,.6141578
2014m5,1.123162
2014m6,1.519031
2014m7,1.172941
2014m8,.4540161
2014m9,-.2589369
2014m10,-.7796966
2014m11,-1.016934
2014m12,-.7938325
2015m1,-.3470193
2015m2,-.1168872
2015m3,-.0914876
2015m4,-.2123275
2015m5,-.386892
2015m6,-.322294
2015m7,-.1775269
2015m8,-.1432654
2015m9,-.3081635
2015m10,-.4802012
2015m11,-.5572303
2015m12,-.4251965
2016m1,-.1672282
2016m2,.0693055
2016m3,.3033467
2016m4,.5861043
