region,date,christianisme
Alsace,2013m1,-1.4193327
Alsace,2013m2,-.43088615
Alsace,2013m3,1.3661786
Alsace,2013m4,-.68994319
Alsace,2013m5,-.23298176
Alsace,2013m6,-1.2347213
Alsace,2013m7,-1.3733892
Alsace,2013m8,-2.0109086
Alsace,2013m9,-.96135241
Alsace,2013m10,-.44853842
Alsace,2013m11,.30632597
Alsace,2013m12,.1359016
Alsace,2014m1,-.76531458
Alsace,2014m2,-.36775088
Alsace,2014m3,-1.0001371
Alsace,2014m4,.73563206
Alsace,2014m5,.087125681
Alsace,2014m6,-.60445243
Alsace,2014m7,-1.565315
Alsace,2014m8,-.88057774
Alsace,2014m9,-.60010821
Alsace,2014m10,.26010141
Alsace,2014m11,-.049776372
Alsace,2014m12,.91586554
Alsace,2015m1,.5346694
Alsace,2015m2,.34162742
Alsace,2015m3,1.0181317
Alsace,2015m4,1.41661
Alsace,2015m5,.39270911
Alsace,2015m6,-.94160813
Alsace,2015m7,-.43161002
Alsace,2015m8,-.061606277
Alsace,2015m9,.10507955
Alsace,2015m10,-.027533291
Alsace,2015m11,.30583799
Alsace,2015m12,2.0430651
Alsace,2016m1,1.3691065
Alsace,2016m2,.78544563
Alsace,2016m3,1.6873457
Alsace,2016m4,.68248391
Alsace,2016m5,.22581507
Alsace,2016m6,-.3758494
Alsace,2016m7,-.57361662
Alsace,2016m8,.42192128
Alsace,2016m9,.14036109
Alsace,2016m10,-.21846277
Alsace,2016m11,-.086497784
Alsace,2016m12,1.6089447
Alsace,2017m1,-.26913771
Alsace,2017m2,.51538205
Alsace,2017m3,.24989612
