region,date,terrorisme
Rhone-Alpes,2013m1,-.56646895
Rhone-Alpes,2013m2,-.52254415
Rhone-Alpes,2013m3,-.55806905
Rhone-Alpes,2013m4,-.53710413
Rhone-Alpes,2013m5,-.42825788
Rhone-Alpes,2013m6,-.55147016
Rhone-Alpes,2013m7,-.27182826
Rhone-Alpes,2013m8,-.42910945
Rhone-Alpes,2013m9,-.46934798
Rhone-Alpes,2013m10,-.44634056
Rhone-Alpes,2013m11,-.56372845
Rhone-Alpes,2013m12,-.57420212
Rhone-Alpes,2014m1,-.54423708
Rhone-Alpes,2014m2,-.53378695
Rhone-Alpes,2014m3,-.49759898
Rhone-Alpes,2014m4,-.48441294
Rhone-Alpes,2014m5,-.36611456
Rhone-Alpes,2014m6,-.3544668
Rhone-Alpes,2014m7,-.25239575
Rhone-Alpes,2014m8,-.29775462
Rhone-Alpes,2014m9,-.35394835
Rhone-Alpes,2014m10,-.31911862
Rhone-Alpes,2014m11,-.33784091
Rhone-Alpes,2014m12,.16826026
Rhone-Alpes,2015m1,1.5755575
Rhone-Alpes,2015m2,-.23494476
Rhone-Alpes,2015m3,-.16556624
Rhone-Alpes,2015m4,-.10641617
Rhone-Alpes,2015m5,-.091028675
Rhone-Alpes,2015m6,.110609
Rhone-Alpes,2015m7,.031994008
Rhone-Alpes,2015m8,-.0033771689
Rhone-Alpes,2015m9,-.20900998
Rhone-Alpes,2015m10,-.20595697
Rhone-Alpes,2015m11,4.1406655
Rhone-Alpes,2015m12,.3546707
Rhone-Alpes,2016m1,.1307728
Rhone-Alpes,2016m2,.054010212
Rhone-Alpes,2016m3,1.0176326
Rhone-Alpes,2016m4,.00500244
Rhone-Alpes,2016m5,-.13080227
Rhone-Alpes,2016m6,.40317544
Rhone-Alpes,2016m7,1.9090443
Rhone-Alpes,2016m8,.45041996
Rhone-Alpes,2016m9,-.030242469
Rhone-Alpes,2016m10,.044118099
Rhone-Alpes,2016m11,-.18674527
Rhone-Alpes,2016m12,.27595222
Rhone-Alpes,2017m1,.13208658
Rhone-Alpes,2017m2,-.028378658
Rhone-Alpes,2017m3,.25147176
