date,cat_spirituality
2011m1,.3948331
2011m2,1.099096
2011m3,1.318145
2011m4,1.184123
2011m5,.8372322
2011m6,.3166831
2011m7,-.2075915
2011m8,-.2643651
2011m9,.3426876
2011m10,1.1329
2011m11,1.466493
2011m12,1.177663
2012m1,.7314038
2012m2,.7069084
2012m3,1.121273
2012m4,1.09549
2012m5,.3446399
2012m6,-.3453358
2012m7,-.4935369
2012m8,-.4315813
2012m9,-.1250822
2012m10,.1363602
2012m11,.1111643
2012m12,-.1408455
2013m1,-.0285344
2013m2,.2872104
2013m3,.3617996
2013m4,.0167772
2013m5,-.5505914
2013m6,-1.13096
2013m7,-1.410818
2013m8,-1.097142
2013m9,-.2368242
2013m10,.4289548
2013m11,.4448493
2013m12,.0491765
2014m1,-.3471592
2014m2,-.3885446
2014m3,-.079161
2014m4,.0048244
2014m5,-.6090512
2014m6,-1.100703
2014m7,-1.118753
2014m8,-.5030082
2014m9,.1681668
2014m10,.3498772
2014m11,.0644608
2014m12,-.1539164
2015m1,-.0926617
2015m2,.2040544
2015m3,.3481036
2015m4,.1143341
2015m5,-.6653843
2015m6,-1.292888
2015m7,-1.564566
2015m8,-1.331985
2015m9,-.5373032
2015m10,.0013695
2015m11,.0704418
2015m12,-.1090884
2016m1,-.1621805
2016m2,.0435348
2016m3,.0803728
2016m4,-.0358427
