date,cat_healthy_habits
2008m1,-.2221296
2008m2,-.6605271
2008m3,-.9666253
2008m4,-1.261447
2008m5,-1.670624
2008m6,-1.920539
2008m7,-2.021237
2008m8,-1.86285
2008m9,-1.570227
2008m10,-1.323639
2008m11,-1.303063
2008m12,-1.059946
2009m1,-.4264676
2009m2,-.1970694
2009m3,-.2551836
2009m4,-.5005024
2009m5,-.7032472
2009m6,-.810369
2009m7,-1.002306
2009m8,-1.043362
2009m9,-.6532362
2009m10,.1005747
2009m11,.6645504
2009m12,1.19729
2010m1,1.796157
2010m2,1.879187
2010m3,2.065866
2010m4,2.112943
2010m5,1.922981
2010m6,1.518779
2010m7,1.16194
2010m8,.8046029
2010m9,.6092839
2010m10,.4392616
2010m11,.4783245
2010m12,.349962
2011m1,.4130365
2011m2,.2999298
2011m3,.1283461
2011m4,-.1082438
2011m5,-.265472
2011m6,-.2833368
2011m7,-.3446249
2011m8,-.3901938
2011m9,-.3809703
2011m10,-.4338505
2011m11,-.5077324
2011m12,-.3851408
2012m1,.2489056
2012m2,.6083042
2012m3,.6606484
2012m4,.5397687
2012m5,.3989416
2012m6,.329285
2012m7,.1648817
2012m8,-.0821679
2012m9,-.3276392
2012m10,-.4914742
2012m11,-.5413849
2012m12,-.2048106
2013m1,.5668979
2013m2,.9149919
2013m3,.7724332
2013m4,.4672433
2013m5,.0743551
2013m6,-.1224899
2013m7,-.3186301
2013m8,-.5109927
2013m9,-.607091
2013m10,-.6938474
2013m11,-.5779964
2013m12,-.243962
2014m1,.4500652
2014m2,.8247737
2014m3,.8521137
2014m4,.5819736
2014m5,.3384133
2014m6,.2030493
2014m7,-.0090325
2014m8,-.2942925
2014m9,-.4450089
2014m10,-.5898997
2014m11,-.5924171
2014m12,-.2256625
2015m1,.390963
2015m2,.7044356
2015m3,.8093904
2015m4,.6499046
2015m5,.414135
2015m6,.1734296
2015m7,-.1981388
2015m8,-.4773861
2015m9,-.6192167
2015m10,-.6992229
2015m11,-.5748754
2015m12,-.2314323
2016m1,.4010445
2016m2,.8447437
2016m3,1.16857
2016m4,1.716557
