date,cat_family_stress
2008m1,-.7645881
2008m2,-1.354271
2008m3,-1.459664
2008m4,-1.231804
2008m5,-.7715859
2008m6,-.2281776
2008m7,.1762988
2008m8,.1423684
2008m9,-.272635
2008m10,-.8155056
2008m11,-1.266261
2008m12,-1.271617
2009m1,-.7916614
2009m2,-.4322997
2009m3,-.1628879
2009m4,.1888743
2009m5,.4879881
2009m6,.9889333
2009m7,1.283995
2009m8,1.214564
2009m9,.664099
2009m10,-.0729112
2009m11,-.6206517
2009m12,-.6414088
2010m1,-.1984155
2010m2,.262635
2010m3,.8469129
2010m4,1.084251
2010m5,1.453042
2010m6,1.958344
2010m7,2.188252
2010m8,2.037753
2010m9,1.306674
2010m10,.2653344
2010m11,-.4756362
2010m12,-.8326924
2011m1,-.6959931
2011m2,-.5575513
2011m3,-.3467419
2011m4,-.0510901
2011m5,.478077
2011m6,.9799569
2011m7,1.189155
2011m8,1.035978
2011m9,.4800152
2011m10,-.0633975
2011m11,-.5338205
2011m12,-.7779666
2012m1,-.577616
2012m2,-.507336
2012m3,-.3920015
2012m4,-.1028318
2012m5,.4122958
2012m6,.8896012
2012m7,1.082359
2012m8,.8733491
2012m9,.1792516
2012m10,-.5520016
2012m11,-1.052385
2012m12,-1.161656
2013m1,-.7635321
2013m2,-.5857641
2013m3,-.447198
2013m4,-.2757904
2013m5,-.1199729
2013m6,.261796
2013m7,.6373829
2013m8,.5688887
2013m9,-.0463841
2013m10,-.6596165
2013m11,-1.200122
2013m12,-1.358721
2014m1,-.8907407
2014m2,-.5411164
2014m3,-.1038299
2014m4,.2747423
2014m5,.4806497
2014m6,.6508388
2014m7,.8100089
2014m8,.7245883
2014m9,.3086087
2014m10,-.3309587
2014m11,-.8636553
2014m12,-.9301339
2015m1,-.5367705
2015m2,-.2632833
2015m3,-.0338076
2015m4,.2126325
2015m5,.6344662
2015m6,1.16133
2015m7,1.460817
2015m8,1.154094
2015m9,.3825358
2015m10,-.3493919
2015m11,-.7709134
2015m12,-.7865236
2016m1,-.4513965
2016m2,-.2369063
2016m3,-.1429524
2016m4,-.1471938
