date,swb_worry
2011m1,-.1364897
2011m2,.0949535
2011m3,.1947565
2011m4,.188668
2011m5,.0924488
2011m6,.0974753
2011m7,.0262379
2011m8,.21151
2011m9,.3125919
2011m10,.3398746
2011m11,.0116467
2011m12,-.1936894
2012m1,-.2149172
2012m2,-.3068532
2012m3,-.3937084
2012m4,-.4871279
2012m5,-.5082605
2012m6,-.437605
2012m7,-.522982
2012m8,-.3376239
2012m9,-.0342176
2012m10,.2971142
2012m11,.2729526
2012m12,-.2759154
2013m1,-.6906088
2013m2,-1.145327
2013m3,-1.402293
2013m4,-1.479679
2013m5,-1.372466
2013m6,-1.364082
2013m7,-1.339676
2013m8,-1.207668
2013m9,-1.274783
2013m10,-1.416471
2013m11,-1.543395
2013m12,-1.599613
2014m1,-1.500626
2014m2,-1.629703
2014m3,-1.69535
2014m4,-1.684275
2014m5,-1.765581
2014m6,-1.898124
2014m7,-1.968343
2014m8,-1.897869
2014m9,-1.762942
2014m10,-1.585888
2014m11,-1.769426
2014m12,-2.091176
2015m1,-2.19666
2015m2,-2.292994
2015m3,-2.289709
2015m4,-2.295607
2015m5,-2.343329
2015m6,-2.392362
2015m7,-2.207283
2015m8,-1.893503
2015m9,-1.797779
2015m10,-1.824879
2015m11,-1.931536
2015m12,-2.053454
2016m1,-2.169417
2016m2,-2.288871
2016m3,-2.276948
2016m4,-2.083975
