region,date,islam
Lorraine,2013m1,.44529787
Lorraine,2013m2,.17500636
Lorraine,2013m3,.56837428
Lorraine,2013m4,.17426179
Lorraine,2013m5,-.29750499
Lorraine,2013m6,-.56439161
Lorraine,2013m7,.15605414
Lorraine,2013m8,-.28634167
Lorraine,2013m9,-.14306775
Lorraine,2013m10,.13034873
Lorraine,2013m11,-.71841717
Lorraine,2013m12,-.077990294
Lorraine,2014m1,.10238357
Lorraine,2014m2,-.14016101
Lorraine,2014m3,-.40270808
Lorraine,2014m4,-.53301394
Lorraine,2014m5,.76696151
Lorraine,2014m6,-.77358729
Lorraine,2014m7,.68627393
Lorraine,2014m8,.29183963
Lorraine,2014m9,-.37256932
Lorraine,2014m10,-.6550855
Lorraine,2014m11,-.61753577
Lorraine,2014m12,.54675454
Lorraine,2015m1,2.8451712
Lorraine,2015m2,.98061693
Lorraine,2015m3,.32291821
Lorraine,2015m4,.54365611
Lorraine,2015m5,-.3837904
Lorraine,2015m6,-.19157396
Lorraine,2015m7,-.3696613
Lorraine,2015m8,-.4149408
Lorraine,2015m9,-.43974841
Lorraine,2015m10,-.15554619
Lorraine,2015m11,1.4181554
Lorraine,2015m12,.41267881
Lorraine,2016m1,-.040978406
Lorraine,2016m2,-.84733605
Lorraine,2016m3,-.17778298
Lorraine,2016m4,-.65995979
Lorraine,2016m5,-.35519063
Lorraine,2016m6,.21169332
Lorraine,2016m7,-.079104505
Lorraine,2016m8,.088973582
Lorraine,2016m9,.055950031
Lorraine,2016m10,-.37110215
Lorraine,2016m11,-.76251638
Lorraine,2016m12,.29304659
Lorraine,2017m1,.51147771
Lorraine,2017m2,-.093618028
Lorraine,2017m3,-.8268795
