date,cat_social_progress
2011m1,-.6324905
2011m2,-.2246629
2011m3,.0175993
2011m4,-.0573549
2011m5,-.4289734
2011m6,-.8212067
2011m7,-.869831
2011m8,-.4574031
2011m9,.1208615
2011m10,.3845359
2011m11,.388515
2011m12,.1758915
2012m1,.106208
2012m2,.2918836
2012m3,.4213588
2012m4,.3380969
2012m5,-.0132533
2012m6,-.4059947
2012m7,-.4609262
2012m8,.003107
2012m9,.5209658
2012m10,.4823777
2012m11,.0313124
2012m12,-.5661148
2013m1,-.6697964
2013m2,-.2624181
2013m3,.0612942
2013m4,.142043
2013m5,-.1993454
2013m6,-.7468774
2013m7,-.9911025
2013m8,-.8509377
2013m9,-.3740764
2013m10,.08121
2013m11,.0420649
2013m12,-.3087209
2014m1,-.4258914
2014m2,-.3408531
2014m3,-.2134461
2014m4,-.2439334
2014m5,-.5845466
2014m6,-.9448231
2014m7,-.9484688
2014m8,-.3960129
2014m9,.4046591
2014m10,.8719888
2014m11,.9339305
2014m12,.8871435
2015m1,1.102444
2015m2,1.526209
2015m3,1.736959
2015m4,1.586803
2015m5,1.026059
2015m6,.5961179
2015m7,.6285866
2015m8,1.271803
2015m9,1.792026
2015m10,1.388591
2015m11,.3921117
2015m12,-.7344918
2016m1,-1.273089
2016m2,-1.514469
2016m3,-1.469095
2016m4,-1.324152
