date,cat_health_conditions
2008m1,.0442341
2008m2,.6019033
2008m3,.8148847
2008m4,.7747703
2008m5,.149075
2008m6,-.6635461
2008m7,-1.039536
2008m8,-.8969796
2008m9,-.3009107
2008m10,.1320311
2008m11,.1399284
2008m12,-.0527856
2009m1,.1842153
2009m2,.751595
2009m3,1.013073
2009m4,.7415826
2009m5,.0391208
2009m6,-.7856179
2009m7,-1.054391
2009m8,-.6240299
2009m9,.3800554
2009m10,1.230652
2009m11,1.302063
2009m12,.8789659
2010m1,.8995488
2010m2,1.382832
2010m3,1.752126
2010m4,1.694755
2010m5,.9461534
2010m6,-.1257842
2010m7,-.5666117
2010m8,-.2317623
2010m9,.4387915
2010m10,.8784541
2010m11,.7377173
2010m12,.1719361
2011m1,-.0017428
2011m2,.2835453
2011m3,.3984978
2011m4,.223354
2011m5,-.3563383
2011m6,-1.091615
2011m7,-1.490856
2011m8,-1.321894
2011m9,-.8097609
2011m10,-.3914447
2011m11,-.3272738
2011m12,-.452211
2012m1,-.0782889
2012m2,.4431072
2012m3,.5361415
2012m4,.2928992
2012m5,-.2829084
2012m6,-.9391091
2012m7,-1.172491
2012m8,-.8938378
2012m9,-.414803
2012m10,-.2302268
2012m11,-.3888999
2012m12,-.537451
2013m1,-.3031889
2013m2,.0842125
2013m3,.2548991
2013m4,.1715698
2013m5,-.3796991
2013m6,-.9947371
2013m7,-1.255474
2013m8,-1.048915
2013m9,-.5048715
2013m10,-.1360735
2013m11,-.2594717
2013m12,-.665401
2014m1,-.6303524
2014m2,-.147453
2014m3,.2197168
2014m4,.2501736
2014m5,-.2388461
2014m6,-.6805725
2014m7,-.8441829
2014m8,-.7180371
2014m9,-.1875713
2014m10,.1277516
2014m11,.0086141
2014m12,-.2635341
2015m1,-.1493939
2015m2,.3227044
2015m3,.6291741
2015m4,.5212914
2015m5,-.0645342
2015m6,-.5888525
2015m7,-.6715468
2015m8,-.3662117
2015m9,.2654811
2015m10,.6076759
2015m11,.5593432
2015m12,.3408022
2016m1,.4627536
2016m2,.8373849
2016m3,1.208635
2016m4,1.491837
