date,cat_health_conditions
2011m1,1.098225
2011m2,1.262801
2011m3,1.261724
2011m4,1.208961
2011m5,1.097585
2011m6,.7315503
2011m7,.4103295
2011m8,.355491
2011m9,.5474623
2011m10,.7201829
2011m11,.7804685
2011m12,.7970302
2012m1,1.063207
2012m2,1.414513
2012m3,1.429483
2012m4,1.228456
2012m5,1.01247
2012m6,.7263382
2012m7,.526827
2012m8,.4912212
2012m9,.628491
2012m10,.779237
2012m11,.812057
2012m12,.8131604
2013m1,1.126732
2013m2,1.413189
2013m3,1.531109
2013m4,1.478031
2013m5,1.210269
2013m6,.5371924
2013m7,-.3481661
2013m8,-.8724182
2013m9,-1.072809
2013m10,-1.06095
2013m11,-.9847686
2013m12,-.8701413
2014m1,-.6878349
2014m2,-.5957742
2014m3,-.6912978
2014m4,-.8055248
2014m5,-.9565583
2014m6,-1.162614
2014m7,-1.224702
2014m8,-1.129595
2014m9,-1.007573
2014m10,-.9924542
2014m11,-1.055116
2014m12,-1.101329
2015m1,-1.008088
2015m2,-.8651962
2015m3,-.7644238
2015m4,-.62796
2015m5,-.4420247
2015m6,-.4299328
2015m7,-.5173798
2015m8,-.5522748
2015m9,-.5971671
2015m10,-.7998821
2015m11,-1.065815
2015m12,-1.141623
2016m1,-1.017682
2016m2,-.8566349
2016m3,-.6955451
2016m4,-.4925343
