date,cat_social_progress
2011m1,-.4158395
2011m2,-.1400151
2011m3,-.0734872
2011m4,-.2955291
2011m5,-.7974824
2011m6,-1.371863
2011m7,-1.599432
2011m8,-1.365888
2011m9,-.8045434
2011m10,-.3317359
2011m11,-.0620408
2011m12,-.0551152
2012m1,.0632181
2012m2,.0767957
2012m3,-.0704108
2012m4,-.429586
2012m5,-.9078807
2012m6,-1.369926
2012m7,-1.530017
2012m8,-1.257169
2012m9,-.7194047
2012m10,-.4082671
2012m11,-.3829677
2012m12,-.3714417
2013m1,-.2836783
2013m2,-.2270114
2013m3,-.2461657
2013m4,-.3122953
2013m5,-.5506511
2013m6,-.996733
2013m7,-1.154985
2013m8,-.9059848
2013m9,-.3567691
2013m10,-.0570376
2013m11,-.0654413
2013m12,-.1522685
2014m1,-.0607571
2014m2,.2595963
2014m3,.4518261
2014m4,.5058381
2014m5,.2291893
2014m6,-.4027199
2014m7,-.7160695
2014m8,-.4342771
2014m9,.2834055
2014m10,.8102025
2014m11,1.016747
2014m12,1.095521
2015m1,1.285633
2015m2,1.468514
2015m3,1.447307
2015m4,1.227267
2015m5,.7616551
2015m6,.1135904
2015m7,-.2209469
2015m8,-.0353467
2015m9,.687448
2015m10,1.223554
2015m11,1.341235
2015m12,1.300408
2016m1,1.415172
2016m2,1.621138
2016m3,1.591632
2016m4,1.662286
