date,cat_health_conditions
2008m1,-.1871151
2008m2,.4485207
2008m3,.6859205
2008m4,.4365916
2008m5,-.3119721
2008m6,-.733793
2008m7,-.7489313
2008m8,-.3422125
2008m9,.2471817
2008m10,.5623022
2008m11,.3788689
2008m12,.166388
2009m1,.2251246
2009m2,.6448491
2009m3,.9623556
2009m4,.7697417
2009m5,.2470912
2009m6,-.2069
2009m7,-.3671904
2009m8,-.0300976
2009m9,.880543
2009m10,1.703912
2009m11,1.918094
2009m12,1.59665
2010m1,1.358482
2010m2,1.548087
2010m3,1.699281
2010m4,1.606576
2010m5,1.089792
2010m6,.7526367
2010m7,.8352144
2010m8,1.129004
2010m9,1.365867
2010m10,1.187906
2010m11,.7273383
2010m12,.1538338
2011m1,.0728086
2011m2,.3702836
2011m3,.4669209
2011m4,.3143044
2011m5,-.27311
2011m6,-.8190971
2011m7,-.8266518
2011m8,-.4686272
2011m9,-.0324551
2011m10,-.1112266
2011m11,-.4557101
2011m12,-.9422796
2012m1,-.7229882
2012m2,-.1688444
2012m3,.1992879
2012m4,.239081
2012m5,-.2534752
2012m6,-.70192
2012m7,-.8137711
2012m8,-.5606831
2012m9,-.2612935
2012m10,-.306133
2012m11,-.5707338
2012m12,-.7602026
2013m1,-.469292
2013m2,-.0626708
2013m3,.1097255
2013m4,.1186284
2013m5,-.3072083
2013m6,-.7335439
2013m7,-.9065343
2013m8,-.9611149
2013m9,-.8615789
2013m10,-.7454042
2013m11,-.8404954
2013m12,-1.067952
2014m1,-.880297
2014m2,-.4595745
2014m3,-.2655132
2014m4,-.3436062
2014m5,-.7169689
2014m6,-.9450595
2014m7,-1.041301
2014m8,-1.019016
2014m9,-.842939
2014m10,-.8590811
2014m11,-1.018075
2014m12,-1.15676
2015m1,-1.060458
2015m2,-.7917447
2015m3,-.6083083
2015m4,-.5979527
2015m5,-.8721669
2015m6,-.8002275
2015m7,-.3360652
2015m8,.2151979
2015m9,.7237301
2015m10,.8423716
2015m11,.6352953
2015m12,.3870835
2016m1,.4639791
2016m2,.7842144
2016m3,1.010931
2016m4,1.26633
